MATCHER,NRACTIONS,NRROOTS,TIME,NROPTIONS,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,2,2,1,2,,0.1,,,,,,1,,,
SimpleGumtree,2,2,0,2,,0.1,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.1,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.1,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.1,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.2,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.2,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.2,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.2,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.2,,,,,,5,,,
SimpleGumtree,2,2,0,2,,0.3,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.3,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.3,,,,,,3,,,
SimpleGumtree,20,3,0,2,,0.3,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.3,,,,,,5,,,
SimpleGumtree,2,2,0,2,,0.4,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.4,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.4,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.4,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.4,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.5,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.5,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.5,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.5,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.5,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.6,,,,,,1,,,
SimpleGumtree,2,2,3,2,,0.6,,,,,,2,,,
SimpleGumtree,20,3,7,2,,0.6,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.6,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.6,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.7,,,,,,1,,,
SimpleGumtree,2,2,0,2,,0.7,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.7,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.7,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.7,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.799,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.799,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.799,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.799,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.799,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.899,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.899,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.899,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.899,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.899,,,,,,5,,,
SimpleGumtree,2,2,1,2,,0.999,,,,,,1,,,
SimpleGumtree,2,2,1,2,,0.999,,,,,,2,,,
SimpleGumtree,20,3,1,2,,0.999,,,,,,3,,,
SimpleGumtree,20,3,1,2,,0.999,,,,,,4,,,
SimpleGumtree,20,3,1,2,,0.999,,,,,,5,,,
ClassicGumtree,4,4,1,3,0.1,,100,,,,,1,,,
ClassicGumtree,68,26,1,3,0.1,,100,,,,,2,,,
ClassicGumtree,154,43,1,3,0.1,,100,,,,,3,,,
ClassicGumtree,210,51,1,3,0.1,,100,,,,,4,,,
ClassicGumtree,272,57,2,3,0.1,,100,,,,,5,,,
ClassicGumtree,4,4,1,3,0.2,,100,,,,,1,,,
ClassicGumtree,68,26,1,3,0.2,,100,,,,,2,,,
ClassicGumtree,154,43,1,3,0.2,,100,,,,,3,,,
ClassicGumtree,210,51,1,3,0.2,,100,,,,,4,,,
ClassicGumtree,272,57,1,3,0.2,,100,,,,,5,,,
ClassicGumtree,4,4,2,3,0.3,,100,,,,,1,,,
ClassicGumtree,68,26,1,3,0.3,,100,,,,,2,,,
ClassicGumtree,154,43,1,3,0.3,,100,,,,,3,,,
ClassicGumtree,210,51,1,3,0.3,,100,,,,,4,,,
ClassicGumtree,272,57,1,3,0.3,,100,,,,,5,,,
ClassicGumtree,4,4,1,3,0.4,,100,,,,,1,,,
ClassicGumtree,68,26,1,3,0.4,,100,,,,,2,,,
ClassicGumtree,154,43,1,3,0.4,,100,,,,,3,,,
ClassicGumtree,210,51,1,3,0.4,,100,,,,,4,,,
ClassicGumtree,275,54,1,3,0.4,,100,,,,,5,,,
ClassicGumtree,4,4,2,3,0.5,,100,,,,,1,,,
ClassicGumtree,68,26,1,3,0.5,,100,,,,,2,,,
ClassicGumtree,154,43,1,3,0.5,,100,,,,,3,,,
ClassicGumtree,217,12,1,3,0.5,,100,,,,,4,,,
ClassicGumtree,279,6,1,3,0.5,,100,,,,,5,,,
ClassicGumtree,4,4,1,3,0.6,,100,,,,,1,,,
ClassicGumtree,77,28,1,3,0.6,,100,,,,,2,,,
ClassicGumtree,154,43,1,3,0.6,,100,,,,,3,,,
ClassicGumtree,220,9,1,3,0.6,,100,,,,,4,,,
ClassicGumtree,279,6,1,3,0.6,,100,,,,,5,,,
ClassicGumtree,4,4,1,3,0.7,,100,,,,,1,,,
ClassicGumtree,77,28,1,3,0.7,,100,,,,,2,,,
ClassicGumtree,168,13,1,3,0.7,,100,,,,,3,,,
ClassicGumtree,220,9,1,3,0.7,,100,,,,,4,,,
ClassicGumtree,279,6,1,3,0.7,,100,,,,,5,,,
ClassicGumtree,4,4,1,3,0.799,,100,,,,,1,,,
ClassicGumtree,103,21,1,3,0.799,,100,,,,,2,,,
ClassicGumtree,176,12,1,3,0.799,,100,,,,,3,,,
ClassicGumtree,228,8,1,3,0.799,,100,,,,,4,,,
ClassicGumtree,287,5,1,3,0.799,,100,,,,,5,,,
ClassicGumtree,16,10,0,3,0.899,,100,,,,,1,,,
ClassicGumtree,107,21,0,3,0.899,,100,,,,,2,,,
ClassicGumtree,176,12,1,3,0.899,,100,,,,,3,,,
ClassicGumtree,228,8,1,3,0.899,,100,,,,,4,,,
ClassicGumtree,287,5,1,3,0.899,,100,,,,,5,,,
ClassicGumtree,48,34,1,3,0.999,,100,,,,,1,,,
ClassicGumtree,107,21,0,3,0.999,,100,,,,,2,,,
ClassicGumtree,176,12,0,3,0.999,,100,,,,,3,,,
ClassicGumtree,228,8,1,3,0.999,,100,,,,,4,,,
ClassicGumtree,287,5,1,3,0.999,,100,,,,,5,,,
ClassicGumtree,2,2,135,3,0.1,,200,,,,,1,,,
ClassicGumtree,6,4,65,3,0.1,,200,,,,,2,,,
ClassicGumtree,14,6,116,3,0.1,,200,,,,,3,,,
ClassicGumtree,14,6,199,3,0.1,,200,,,,,4,,,
ClassicGumtree,38,8,87,3,0.1,,200,,,,,5,,,
ClassicGumtree,2,2,79,3,0.2,,200,,,,,1,,,
ClassicGumtree,6,4,110,3,0.2,,200,,,,,2,,,
ClassicGumtree,14,6,245,3,0.2,,200,,,,,3,,,
ClassicGumtree,14,6,115,3,0.2,,200,,,,,4,,,
ClassicGumtree,38,8,112,3,0.2,,200,,,,,5,,,
ClassicGumtree,2,2,220,3,0.3,,200,,,,,1,,,
ClassicGumtree,6,4,115,3,0.3,,200,,,,,2,,,
ClassicGumtree,14,6,176,3,0.3,,200,,,,,3,,,
ClassicGumtree,14,6,53,3,0.3,,200,,,,,4,,,
ClassicGumtree,38,8,79,3,0.3,,200,,,,,5,,,
ClassicGumtree,2,2,49,3,0.4,,200,,,,,1,,,
ClassicGumtree,6,4,140,3,0.4,,200,,,,,2,,,
ClassicGumtree,14,6,164,3,0.4,,200,,,,,3,,,
ClassicGumtree,14,6,133,3,0.4,,200,,,,,4,,,
ClassicGumtree,38,8,178,3,0.4,,200,,,,,5,,,
ClassicGumtree,2,2,171,3,0.5,,200,,,,,1,,,
ClassicGumtree,6,4,59,3,0.5,,200,,,,,2,,,
ClassicGumtree,14,6,179,3,0.5,,200,,,,,3,,,
ClassicGumtree,217,12,5,3,0.5,,200,,,,,4,,,
ClassicGumtree,279,6,1,3,0.5,,200,,,,,5,,,
ClassicGumtree,2,2,120,3,0.6,,200,,,,,1,,,
ClassicGumtree,6,4,149,3,0.6,,200,,,,,2,,,
ClassicGumtree,14,6,44,3,0.6,,200,,,,,3,,,
ClassicGumtree,220,9,1,3,0.6,,200,,,,,4,,,
ClassicGumtree,279,6,1,3,0.6,,200,,,,,5,,,
ClassicGumtree,2,2,94,3,0.7,,200,,,,,1,,,
ClassicGumtree,6,4,111,3,0.7,,200,,,,,2,,,
ClassicGumtree,168,13,24,3,0.7,,200,,,,,3,,,
ClassicGumtree,220,9,1,3,0.7,,200,,,,,4,,,
ClassicGumtree,279,6,1,3,0.7,,200,,,,,5,,,
ClassicGumtree,2,2,146,3,0.799,,200,,,,,1,,,
ClassicGumtree,103,21,0,3,0.799,,200,,,,,2,,,
ClassicGumtree,176,12,1,3,0.799,,200,,,,,3,,,
ClassicGumtree,228,8,1,3,0.799,,200,,,,,4,,,
ClassicGumtree,287,5,0,3,0.799,,200,,,,,5,,,
ClassicGumtree,2,2,110,3,0.899,,200,,,,,1,,,
ClassicGumtree,107,21,1,3,0.899,,200,,,,,2,,,
ClassicGumtree,176,12,0,3,0.899,,200,,,,,3,,,
ClassicGumtree,228,8,1,3,0.899,,200,,,,,4,,,
ClassicGumtree,287,5,0,3,0.899,,200,,,,,5,,,
ClassicGumtree,48,34,1,3,0.999,,200,,,,,1,,,
ClassicGumtree,107,21,0,3,0.999,,200,,,,,2,,,
ClassicGumtree,176,12,1,3,0.999,,200,,,,,3,,,
ClassicGumtree,228,8,27,3,0.999,,200,,,,,4,,,
ClassicGumtree,287,5,1,3,0.999,,200,,,,,5,,,
ClassicGumtree,2,2,536,3,0.1,,300,,,,,1,,,
ClassicGumtree,2,2,496,3,0.1,,300,,,,,2,,,
ClassicGumtree,2,2,531,3,0.1,,300,,,,,3,,,
ClassicGumtree,2,2,478,3,0.1,,300,,,,,4,,,
ClassicGumtree,2,2,498,3,0.1,,300,,,,,5,,,
ClassicGumtree,2,2,385,3,0.2,,300,,,,,1,,,
ClassicGumtree,2,2,536,3,0.2,,300,,,,,2,,,
ClassicGumtree,2,2,538,3,0.2,,300,,,,,3,,,
ClassicGumtree,2,2,535,3,0.2,,300,,,,,4,,,
ClassicGumtree,2,2,496,3,0.2,,300,,,,,5,,,
ClassicGumtree,2,2,518,3,0.3,,300,,,,,1,,,
ClassicGumtree,2,2,483,3,0.3,,300,,,,,2,,,
ClassicGumtree,2,2,428,3,0.3,,300,,,,,3,,,
ClassicGumtree,2,2,471,3,0.3,,300,,,,,4,,,
ClassicGumtree,2,2,443,3,0.3,,300,,,,,5,,,
ClassicGumtree,2,2,461,3,0.4,,300,,,,,1,,,
ClassicGumtree,2,2,457,3,0.4,,300,,,,,2,,,
ClassicGumtree,2,2,422,3,0.4,,300,,,,,3,,,
ClassicGumtree,2,2,423,3,0.4,,300,,,,,4,,,
ClassicGumtree,2,2,453,3,0.4,,300,,,,,5,,,
ClassicGumtree,2,2,460,3,0.5,,300,,,,,1,,,
ClassicGumtree,2,2,456,3,0.5,,300,,,,,2,,,
ClassicGumtree,2,2,425,3,0.5,,300,,,,,3,,,
ClassicGumtree,2,2,322,3,0.5,,300,,,,,4,,,
ClassicGumtree,2,2,133,3,0.5,,300,,,,,5,,,
ClassicGumtree,2,2,443,3,0.6,,300,,,,,1,,,
ClassicGumtree,2,2,428,3,0.6,,300,,,,,2,,,
ClassicGumtree,2,2,451,3,0.6,,300,,,,,3,,,
ClassicGumtree,2,2,146,3,0.6,,300,,,,,4,,,
ClassicGumtree,2,2,125,3,0.6,,300,,,,,5,,,
ClassicGumtree,2,2,477,3,0.7,,300,,,,,1,,,
ClassicGumtree,2,2,362,3,0.7,,300,,,,,2,,,
ClassicGumtree,2,2,173,3,0.7,,300,,,,,3,,,
ClassicGumtree,2,2,173,3,0.7,,300,,,,,4,,,
ClassicGumtree,2,2,186,3,0.7,,300,,,,,5,,,
ClassicGumtree,2,2,388,3,0.799,,300,,,,,1,,,
ClassicGumtree,2,2,244,3,0.799,,300,,,,,2,,,
ClassicGumtree,2,2,195,3,0.799,,300,,,,,3,,,
ClassicGumtree,2,2,144,3,0.799,,300,,,,,4,,,
