MATCHER,NRACTIONS,NRROOTS,TIME,NROPTIONS,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,1,1,2,2,,0.1,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.1,,,,,,2,,,
SimpleGumtree,1,1,0,2,,0.1,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.1,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.1,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.2,,,,,,1,,,
SimpleGumtree,1,1,2,2,,0.2,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.2,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.2,,,,,,4,,,
SimpleGumtree,1,1,0,2,,0.2,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.3,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.3,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.3,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.3,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.3,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.4,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.4,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.4,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.4,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.4,,,,,,5,,,
SimpleGumtree,1,1,0,2,,0.5,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.5,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.5,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.5,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.5,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.6,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.6,,,,,,2,,,
SimpleGumtree,1,1,0,2,,0.6,,,,,,3,,,
SimpleGumtree,1,1,4,2,,0.6,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.6,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.7,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.7,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.7,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.7,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.7,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.799,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.799,,,,,,2,,,
SimpleGumtree,1,1,0,2,,0.799,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.799,,,,,,4,,,
SimpleGumtree,1,1,0,2,,0.799,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.899,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.899,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.899,,,,,,3,,,
SimpleGumtree,1,1,0,2,,0.899,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.899,,,,,,5,,,
SimpleGumtree,1,1,1,2,,0.999,,,,,,1,,,
SimpleGumtree,1,1,1,2,,0.999,,,,,,2,,,
SimpleGumtree,1,1,1,2,,0.999,,,,,,3,,,
SimpleGumtree,1,1,1,2,,0.999,,,,,,4,,,
SimpleGumtree,1,1,1,2,,0.999,,,,,,5,,,
ClassicGumtree,7,7,28,3,0.1,,100,,,,,1,,,
ClassicGumtree,19,11,33,3,0.1,,100,,,,,2,,,
ClassicGumtree,53,17,29,3,0.1,,100,,,,,3,,,
ClassicGumtree,79,21,30,3,0.1,,100,,,,,4,,,
ClassicGumtree,79,21,17,3,0.1,,100,,,,,5,,,
ClassicGumtree,7,7,17,3,0.2,,100,,,,,1,,,
ClassicGumtree,19,11,25,3,0.2,,100,,,,,2,,,
ClassicGumtree,53,17,38,3,0.2,,100,,,,,3,,,
ClassicGumtree,79,21,62,3,0.2,,100,,,,,4,,,
ClassicGumtree,79,21,54,3,0.2,,100,,,,,5,,,
ClassicGumtree,7,7,19,3,0.3,,100,,,,,1,,,
ClassicGumtree,19,11,74,3,0.3,,100,,,,,2,,,
ClassicGumtree,53,17,78,3,0.3,,100,,,,,3,,,
ClassicGumtree,79,21,103,3,0.3,,100,,,,,4,,,
ClassicGumtree,79,21,67,3,0.3,,100,,,,,5,,,
ClassicGumtree,7,7,44,3,0.4,,100,,,,,1,,,
ClassicGumtree,19,11,21,3,0.4,,100,,,,,2,,,
ClassicGumtree,53,17,60,3,0.4,,100,,,,,3,,,
ClassicGumtree,79,21,59,3,0.4,,100,,,,,4,,,
ClassicGumtree,79,21,57,3,0.4,,100,,,,,5,,,
ClassicGumtree,7,7,53,3,0.5,,100,,,,,1,,,
ClassicGumtree,19,11,65,3,0.5,,100,,,,,2,,,
ClassicGumtree,53,17,89,3,0.5,,100,,,,,3,,,
ClassicGumtree,79,21,61,3,0.5,,100,,,,,4,,,
ClassicGumtree,79,21,74,3,0.5,,100,,,,,5,,,
ClassicGumtree,7,7,57,3,0.6,,100,,,,,1,,,
ClassicGumtree,19,11,76,3,0.6,,100,,,,,2,,,
ClassicGumtree,53,17,81,3,0.6,,100,,,,,3,,,
ClassicGumtree,79,21,84,3,0.6,,100,,,,,4,,,
ClassicGumtree,79,21,87,3,0.6,,100,,,,,5,,,
ClassicGumtree,7,7,74,3,0.7,,100,,,,,1,,,
ClassicGumtree,19,11,75,3,0.7,,100,,,,,2,,,
ClassicGumtree,53,17,46,3,0.7,,100,,,,,3,,,
ClassicGumtree,79,21,76,3,0.7,,100,,,,,4,,,
ClassicGumtree,79,21,22,3,0.7,,100,,,,,5,,,
ClassicGumtree,7,7,57,3,0.799,,100,,,,,1,,,
ClassicGumtree,19,11,64,3,0.799,,100,,,,,2,,,
ClassicGumtree,53,17,103,3,0.799,,100,,,,,3,,,
ClassicGumtree,84,6,94,3,0.799,,100,,,,,4,,,
ClassicGumtree,84,6,47,3,0.799,,100,,,,,5,,,
ClassicGumtree,7,7,55,3,0.899,,100,,,,,1,,,
ClassicGumtree,19,11,77,3,0.899,,100,,,,,2,,,
ClassicGumtree,81,7,1,3,0.899,,100,,,,,3,,,
ClassicGumtree,108,4,1,3,0.899,,100,,,,,4,,,
ClassicGumtree,108,4,1,3,0.899,,100,,,,,5,,,
ClassicGumtree,31,13,1,3,0.999,,100,,,,,1,,,
ClassicGumtree,48,10,1,3,0.999,,100,,,,,2,,,
ClassicGumtree,84,6,0,3,0.999,,100,,,,,3,,,
ClassicGumtree,108,4,1,3,0.999,,100,,,,,4,,,
ClassicGumtree,108,4,1,3,0.999,,100,,,,,5,,,
ClassicGumtree,1,1,666,3,0.1,,200,,,,,1,,,
ClassicGumtree,1,1,639,3,0.1,,200,,,,,2,,,
ClassicGumtree,1,1,659,3,0.1,,200,,,,,3,,,
ClassicGumtree,1,1,663,3,0.1,,200,,,,,4,,,
ClassicGumtree,1,1,641,3,0.1,,200,,,,,5,,,
ClassicGumtree,1,1,650,3,0.2,,200,,,,,1,,,
ClassicGumtree,1,1,674,3,0.2,,200,,,,,2,,,
ClassicGumtree,1,1,639,3,0.2,,200,,,,,3,,,
ClassicGumtree,1,1,663,3,0.2,,200,,,,,4,,,
ClassicGumtree,1,1,620,3,0.2,,200,,,,,5,,,
ClassicGumtree,1,1,754,3,0.3,,200,,,,,1,,,
