MATCHER,NRACTIONS,NRROOTS,TIME,NROPTIONS,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,3,1,65,2,,0.1,,,,,,1,,,
SimpleGumtree,3,1,6,2,,0.1,,,,,,2,,,
SimpleGumtree,3,1,7,2,,0.1,,,,,,3,,,
SimpleGumtree,3,1,5,2,,0.1,,,,,,4,,,
SimpleGumtree,3,1,6,2,,0.1,,,,,,5,,,
SimpleGumtree,3,1,9,2,,0.3,,,,,,1,,,
SimpleGumtree,3,1,5,2,,0.3,,,,,,2,,,
SimpleGumtree,3,1,4,2,,0.3,,,,,,3,,,
SimpleGumtree,3,1,8,2,,0.3,,,,,,4,,,
SimpleGumtree,3,1,5,2,,0.3,,,,,,5,,,
SimpleGumtree,3,1,5,2,,0.5,,,,,,1,,,
SimpleGumtree,3,1,6,2,,0.5,,,,,,2,,,
SimpleGumtree,3,1,5,2,,0.5,,,,,,3,,,
SimpleGumtree,3,1,3,2,,0.5,,,,,,4,,,
SimpleGumtree,3,1,6,2,,0.5,,,,,,5,,,
SimpleGumtree,3,1,5,2,,0.7,,,,,,1,,,
SimpleGumtree,3,1,3,2,,0.7,,,,,,2,,,
SimpleGumtree,3,1,3,2,,0.7,,,,,,3,,,
SimpleGumtree,3,1,6,2,,0.7,,,,,,4,,,
SimpleGumtree,3,1,5,2,,0.7,,,,,,5,,,
SimpleGumtree,3,1,20,2,,0.899,,,,,,1,,,
SimpleGumtree,3,1,6,2,,0.899,,,,,,2,,,
SimpleGumtree,3,1,4,2,,0.899,,,,,,3,,,
SimpleGumtree,3,1,2,2,,0.899,,,,,,4,,,
SimpleGumtree,3,1,3,2,,0.899,,,,,,5,,,
ChangeDistiller,272,270,506,4,,,,0.1,2,0.2,0.1,,,,
ChangeDistiller,272,269,201,4,,,,0.1,2,0.2,0.3,,,,
ChangeDistiller,296,276,413,4,,,,0.1,2,0.2,0.5,,,,
ChangeDistiller,373,335,240,4,,,,0.1,2,0.2,0.7,,,,
ChangeDistiller,378,338,208,4,,,,0.1,2,0.2,0.899,,,,
ChangeDistiller,294,273,167,4,,,,0.1,2,0.4,0.1,,,,
ChangeDistiller,294,275,270,4,,,,0.1,2,0.4,0.3,,,,
ChangeDistiller,305,276,223,4,,,,0.1,2,0.4,0.5,,,,
ChangeDistiller,377,334,304,4,,,,0.1,2,0.4,0.7,,,,
ChangeDistiller,384,333,244,4,,,,0.1,2,0.4,0.899,,,,
ChangeDistiller,312,286,215,4,,,,0.1,2,0.6,0.1,,,,
ChangeDistiller,326,289,180,4,,,,0.1,2,0.6,0.3,,,,
ChangeDistiller,339,288,186,4,,,,0.1,2,0.6,0.5,,,,
ChangeDistiller,413,264,182,4,,,,0.1,2,0.6,0.7,,,,
ChangeDistiller,422,253,151,4,,,,0.1,2,0.6,0.899,,,,
ChangeDistiller,360,277,174,4,,,,0.1,2,0.8,0.1,,,,
ChangeDistiller,364,271,167,4,,,,0.1,2,0.8,0.3,,,,
ChangeDistiller,379,260,149,4,,,,0.1,2,0.8,0.5,,,,
ChangeDistiller,428,245,175,4,,,,0.1,2,0.8,0.7,,,,
ChangeDistiller,432,245,206,4,,,,0.1,2,0.8,0.899,,,,
ChangeDistiller,373,274,153,4,,,,0.1,2,1.0,0.1,,,,
ChangeDistiller,378,267,144,4,,,,0.1,2,1.0,0.3,,,,
ChangeDistiller,389,262,228,4,,,,0.1,2,1.0,0.5,,,,
ChangeDistiller,438,247,179,4,,,,0.1,2,1.0,0.7,,,,
ChangeDistiller,442,247,224,4,,,,0.1,2,1.0,0.899,,,,
ChangeDistiller,269,267,153,4,,,,0.1,4,0.2,0.1,,,,
ChangeDistiller,281,272,160,4,,,,0.1,4,0.2,0.3,,,,
ChangeDistiller,314,282,151,4,,,,0.1,4,0.2,0.5,,,,
ChangeDistiller,395,340,152,4,,,,0.1,4,0.2,0.7,,,,
ChangeDistiller,409,351,154,4,,,,0.1,4,0.2,0.899,,,,
