MATCHER,NRACTIONS,NRROOTS,TIME,NROPTIONS,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,8,2,26,2,,0.1,,,,,,1,,,
SimpleGumtree,8,2,26,2,,0.1,,,,,,2,,,
SimpleGumtree,30,3,24,2,,0.1,,,,,,3,,,
SimpleGumtree,30,3,41,2,,0.1,,,,,,4,,,
SimpleGumtree,30,3,24,2,,0.1,,,,,,5,,,
SimpleGumtree,8,2,31,2,,0.2,,,,,,1,,,
SimpleGumtree,8,2,27,2,,0.2,,,,,,2,,,
SimpleGumtree,30,3,24,2,,0.2,,,,,,3,,,
SimpleGumtree,30,3,52,2,,0.2,,,,,,4,,,
SimpleGumtree,30,3,50,2,,0.2,,,,,,5,,,
SimpleGumtree,8,2,61,2,,0.3,,,,,,1,,,
SimpleGumtree,8,2,98,2,,0.3,,,,,,2,,,
SimpleGumtree,30,3,86,2,,0.3,,,,,,3,,,
SimpleGumtree,30,3,76,2,,0.3,,,,,,4,,,
SimpleGumtree,30,3,86,2,,0.3,,,,,,5,,,
SimpleGumtree,8,2,76,2,,0.4,,,,,,1,,,
SimpleGumtree,8,2,92,2,,0.4,,,,,,2,,,
SimpleGumtree,30,3,74,2,,0.4,,,,,,3,,,
SimpleGumtree,30,3,75,2,,0.4,,,,,,4,,,
SimpleGumtree,30,3,76,2,,0.4,,,,,,5,,,
SimpleGumtree,8,2,86,2,,0.5,,,,,,1,,,
SimpleGumtree,8,2,40,2,,0.5,,,,,,2,,,
SimpleGumtree,30,3,98,2,,0.5,,,,,,3,,,
SimpleGumtree,30,3,62,2,,0.5,,,,,,4,,,
SimpleGumtree,30,3,68,2,,0.5,,,,,,5,,,
SimpleGumtree,8,2,67,2,,0.6,,,,,,1,,,
SimpleGumtree,8,2,100,2,,0.6,,,,,,2,,,
SimpleGumtree,30,3,81,2,,0.6,,,,,,3,,,
SimpleGumtree,30,3,78,2,,0.6,,,,,,4,,,
SimpleGumtree,30,3,75,2,,0.6,,,,,,5,,,
SimpleGumtree,8,2,115,2,,0.7,,,,,,1,,,
SimpleGumtree,8,2,93,2,,0.7,,,,,,2,,,
SimpleGumtree,30,3,103,2,,0.7,,,,,,3,,,
SimpleGumtree,30,3,106,2,,0.7,,,,,,4,,,
SimpleGumtree,30,3,71,2,,0.7,,,,,,5,,,
SimpleGumtree,8,2,58,2,,0.799,,,,,,1,,,
SimpleGumtree,8,2,93,2,,0.799,,,,,,2,,,
