MATCHER;NRACTIONS;NRROOTS;TIME;NROPTIONS;GT_BUM_SMT;GT_BUM_SMT_SBUP;GT_BUM_SZT;GT_CD_LSIM;GT_CD_ML;GT_CD_SSIM1;GT_CD_SSIM2;GT_STM_MH;GT_XYM_SIM;GUMTREE_MATCH_GT_MINH
ClassicGumtree;505;74;154;3;0.1;;600;;;;;4;;
ClassicGumtree;505;74;148;3;0.1;;700;;;;;4;;
ClassicGumtree;505;74;114;3;0.1;;800;;;;;4;;
ClassicGumtree;505;74;92;3;0.1;;900;;;;;4;;
ClassicGumtree;505;74;94;3;0.1;;1000;;;;;4;;
ClassicGumtree;505;74;104;3;0.1;;1100;;;;;4;;
ClassicGumtree;505;74;101;3;0.1;;1200;;;;;4;;
ClassicGumtree;505;74;110;3;0.1;;1300;;;;;4;;
ClassicGumtree;505;74;108;3;0.1;;1400;;;;;4;;
ClassicGumtree;505;74;86;3;0.1;;1500;;;;;4;;
ClassicGumtree;37;24;15601;3;0.1;;1600;;;;;4;;
ClassicGumtree;37;24;15908;3;0.1;;1700;;;;;4;;
ClassicGumtree;37;24;16042;3;0.1;;1800;;;;;4;;
ClassicGumtree;37;24;15538;3;0.1;;1900;;;;;4;;
ClassicGumtree;37;24;15953;3;0.1;;2000;;;;;4;;
ClassicGumtree;902;80;31;3;0.1;;100;;;;;5;;
ClassicGumtree;801;86;79;3;0.1;;200;;;;;5;;
ClassicGumtree;801;86;115;3;0.1;;300;;;;;5;;
ClassicGumtree;801;86;60;3;0.1;;400;;;;;5;;
ClassicGumtree;801;86;111;3;0.1;;500;;;;;5;;
ClassicGumtree;801;86;97;3;0.1;;600;;;;;5;;
ClassicGumtree;801;86;181;3;0.1;;700;;;;;5;;
ClassicGumtree;801;86;146;3;0.1;;800;;;;;5;;
ClassicGumtree;801;86;167;3;0.1;;900;;;;;5;;
ClassicGumtree;801;86;152;3;0.1;;1000;;;;;5;;
ClassicGumtree;801;86;59;3;0.1;;1100;;;;;5;;
ClassicGumtree;801;86;163;3;0.1;;1200;;;;;5;;
ClassicGumtree;801;86;120;3;0.1;;1300;;;;;5;;
ClassicGumtree;801;86;126;3;0.1;;1400;;;;;5;;
ClassicGumtree;801;86;141;3;0.1;;1500;;;;;5;;
ClassicGumtree;37;24;14410;3;0.1;;1600;;;;;5;;
ClassicGumtree;37;24;14227;3;0.1;;1700;;;;;5;;
ClassicGumtree;37;24;14372;3;0.1;;1800;;;;;5;;
ClassicGumtree;37;24;14352;3;0.1;;1900;;;;;5;;
ClassicGumtree;37;24;14616;3;0.1;;2000;;;;;5;;
ClassicGumtree;72;12;52;3;0.2;;100;;;;;1;;
ClassicGumtree;39;26;124;3;0.2;;200;;;;;1;;
ClassicGumtree;39;26;125;3;0.2;;300;;;;;1;;
ClassicGumtree;39;26;105;3;0.2;;400;;;;;1;;
ClassicGumtree;39;26;88;3;0.2;;500;;;;;1;;
ClassicGumtree;39;26;133;3;0.2;;600;;;;;1;;
ClassicGumtree;39;26;167;3;0.2;;700;;;;;1;;
ClassicGumtree;39;26;157;3;0.2;;800;;;;;1;;
ClassicGumtree;39;26;101;3;0.2;;900;;;;;1;;
ClassicGumtree;39;26;63;3;0.2;;1000;;;;;1;;
ClassicGumtree;39;26;80;3;0.2;;1100;;;;;1;;
ClassicGumtree;39;26;69;3;0.2;;1200;;;;;1;;
ClassicGumtree;39;26;83;3;0.2;;1300;;;;;1;;
ClassicGumtree;39;26;67;3;0.2;;1400;;;;;1;;
ClassicGumtree;39;26;108;3;0.2;;1500;;;;;1;;
ClassicGumtree;37;24;14189;3;0.2;;1600;;;;;1;;
ClassicGumtree;37;24;14194;3;0.2;;1700;;;;;1;;
ClassicGumtree;37;24;14155;3;0.2;;1800;;;;;1;;
ClassicGumtree;37;24;14447;3;0.2;;1900;;;;;1;;
ClassicGumtree;37;24;14495;3;0.2;;2000;;;;;1;;
ClassicGumtree;88;18;6;3;0.2;;100;;;;;2;;
ClassicGumtree;45;28;104;3;0.2;;200;;;;;2;;
ClassicGumtree;45;28;60;3;0.2;;300;;;;;2;;
ClassicGumtree;45;28;73;3;0.2;;400;;;;;2;;
ClassicGumtree;45;28;123;3;0.2;;500;;;;;2;;
ClassicGumtree;45;28;100;3;0.2;;600;;;;;2;;
ClassicGumtree;45;28;117;3;0.2;;700;;;;;2;;
ClassicGumtree;45;28;88;3;0.2;;800;;;;;2;;
ClassicGumtree;45;28;98;3;0.2;;900;;;;;2;;
ClassicGumtree;45;28;73;3;0.2;;1000;;;;;2;;
ClassicGumtree;45;28;71;3;0.2;;1100;;;;;2;;
ClassicGumtree;45;28;146;3;0.2;;1200;;;;;2;;
ClassicGumtree;45;28;98;3;0.2;;1300;;;;;2;;
ClassicGumtree;45;28;103;3;0.2;;1400;;;;;2;;
ClassicGumtree;45;28;107;3;0.2;;1500;;;;;2;;
ClassicGumtree;37;24;15496;3;0.2;;1600;;;;;2;;
ClassicGumtree;37;24;15438;3;0.2;;1700;;;;;2;;
ClassicGumtree;37;24;15566;3;0.2;;1800;;;;;2;;
ClassicGumtree;37;24;15162;3;0.2;;1900;;;;;2;;
ClassicGumtree;37;24;15418;3;0.2;;2000;;;;;2;;
ClassicGumtree;211;39;8;3;0.2;;100;;;;;3;;
ClassicGumtree;157;48;110;3;0.2;;200;;;;;3;;
ClassicGumtree;157;48;97;3;0.2;;300;;;;;3;;
ClassicGumtree;157;48;85;3;0.2;;400;;;;;3;;
ClassicGumtree;157;48;168;3;0.2;;500;;;;;3;;
ClassicGumtree;157;48;152;3;0.2;;600;;;;;3;;
ClassicGumtree;157;48;128;3;0.2;;700;;;;;3;;
ClassicGumtree;157;48;99;3;0.2;;800;;;;;3;;
ClassicGumtree;157;48;79;3;0.2;;900;;;;;3;;
ClassicGumtree;157;48;98;3;0.2;;1000;;;;;3;;
ClassicGumtree;157;48;97;3;0.2;;1100;;;;;3;;
ClassicGumtree;157;48;108;3;0.2;;1200;;;;;3;;
ClassicGumtree;157;48;96;3;0.2;;1300;;;;;3;;
ClassicGumtree;157;48;95;3;0.2;;1400;;;;;3;;
ClassicGumtree;157;48;84;3;0.2;;1500;;;;;3;;
ClassicGumtree;37;24;15249;3;0.2;;1600;;;;;3;;
ClassicGumtree;37;24;15344;3;0.2;;1700;;;;;3;;
ClassicGumtree;37;24;15468;3;0.2;;1800;;;;;3;;
ClassicGumtree;37;24;15444;3;0.2;;1900;;;;;3;;
ClassicGumtree;37;24;15430;3;0.2;;2000;;;;;3;;
ClassicGumtree;606;68;6;3;0.2;;100;;;;;4;;
ClassicGumtree;505;74;104;3;0.2;;200;;;;;4;;
ClassicGumtree;505;74;173;3;0.2;;300;;;;;4;;
ClassicGumtree;505;74;63;3;0.2;;400;;;;;4;;
ClassicGumtree;505;74;75;3;0.2;;500;;;;;4;;
ClassicGumtree;505;74;72;3;0.2;;600;;;;;4;;
ClassicGumtree;505;74;92;3;0.2;;700;;;;;4;;
ClassicGumtree;505;74;123;3;0.2;;800;;;;;4;;
ClassicGumtree;505;74;117;3;0.2;;900;;;;;4;;
ClassicGumtree;505;74;125;3;0.2;;1000;;;;;4;;
ClassicGumtree;505;74;62;3;0.2;;1100;;;;;4;;
ClassicGumtree;505;74;100;3;0.2;;1200;;;;;4;;
ClassicGumtree;505;74;86;3;0.2;;1300;;;;;4;;
ClassicGumtree;505;74;72;3;0.2;;1400;;;;;4;;
ClassicGumtree;505;74;99;3;0.2;;1500;;;;;4;;
ClassicGumtree;37;24;14887;3;0.2;;1600;;;;;4;;
ClassicGumtree;37;24;14816;3;0.2;;1700;;;;;4;;
ClassicGumtree;37;24;14847;3;0.2;;1800;;;;;4;;
ClassicGumtree;37;24;14894;3;0.2;;1900;;;;;4;;
ClassicGumtree;37;24;14771;3;0.2;;2000;;;;;4;;
ClassicGumtree;902;80;9;3;0.2;;100;;;;;5;;
ClassicGumtree;801;86;196;3;0.2;;200;;;;;5;;
ClassicGumtree;801;86;156;3;0.2;;300;;;;;5;;
ClassicGumtree;801;86;99;3;0.2;;400;;;;;5;;
ClassicGumtree;801;86;77;3;0.2;;500;;;;;5;;
ClassicGumtree;801;86;73;3;0.2;;600;;;;;5;;
ClassicGumtree;801;86;101;3;0.2;;700;;;;;5;;
ClassicGumtree;801;86;70;3;0.2;;800;;;;;5;;
ClassicGumtree;801;86;83;3;0.2;;900;;;;;5;;
ClassicGumtree;801;86;105;3;0.2;;1000;;;;;5;;
ClassicGumtree;801;86;98;3;0.2;;1100;;;;;5;;
ClassicGumtree;801;86;112;3;0.2;;1200;;;;;5;;
ClassicGumtree;801;86;99;3;0.2;;1300;;;;;5;;
ClassicGumtree;801;86;110;3;0.2;;1400;;;;;5;;
ClassicGumtree;801;86;116;3;0.2;;1500;;;;;5;;
ClassicGumtree;37;24;14811;3;0.2;;1600;;;;;5;;
ClassicGumtree;37;24;14737;3;0.2;;1700;;;;;5;;
ClassicGumtree;37;24;14726;3;0.2;;1800;;;;;5;;
ClassicGumtree;37;24;14685;3;0.2;;1900;;;;;5;;
ClassicGumtree;37;24;14651;3;0.2;;2000;;;;;5;;
ClassicGumtree;72;12;20;3;0.3;;100;;;;;1;;
ClassicGumtree;39;26;77;3;0.3;;200;;;;;1;;
ClassicGumtree;39;26;88;3;0.3;;300;;;;;1;;
ClassicGumtree;39;26;98;3;0.3;;400;;;;;1;;
ClassicGumtree;39;26;84;3;0.3;;500;;;;;1;;
ClassicGumtree;39;26;86;3;0.3;;600;;;;;1;;
ClassicGumtree;39;26;69;3;0.3;;700;;;;;1;;
ClassicGumtree;39;26;98;3;0.3;;800;;;;;1;;
ClassicGumtree;39;26;72;3;0.3;;900;;;;;1;;
ClassicGumtree;39;26;59;3;0.3;;1000;;;;;1;;
ClassicGumtree;39;26;82;3;0.3;;1100;;;;;1;;
ClassicGumtree;39;26;60;3;0.3;;1200;;;;;1;;
ClassicGumtree;39;26;79;3;0.3;;1300;;;;;1;;
ClassicGumtree;39;26;73;3;0.3;;1400;;;;;1;;
ClassicGumtree;39;26;79;3;0.3;;1500;;;;;1;;
ClassicGumtree;37;24;15062;3;0.3;;1600;;;;;1;;
ClassicGumtree;37;24;14977;3;0.3;;1700;;;;;1;;
ClassicGumtree;37;24;15035;3;0.3;;1800;;;;;1;;
ClassicGumtree;37;24;15136;3;0.3;;1900;;;;;1;;
ClassicGumtree;37;24;14847;3;0.3;;2000;;;;;1;;
ClassicGumtree;88;18;23;3;0.3;;100;;;;;2;;
ClassicGumtree;45;28;111;3;0.3;;200;;;;;2;;
ClassicGumtree;45;28;75;3;0.3;;300;;;;;2;;
ClassicGumtree;45;28;95;3;0.3;;400;;;;;2;;
ClassicGumtree;45;28;80;3;0.3;;500;;;;;2;;
ClassicGumtree;45;28;68;3;0.3;;600;;;;;2;;
ClassicGumtree;45;28;108;3;0.3;;700;;;;;2;;
ClassicGumtree;45;28;113;3;0.3;;800;;;;;2;;
ClassicGumtree;45;28;129;3;0.3;;900;;;;;2;;
ClassicGumtree;45;28;124;3;0.3;;1000;;;;;2;;
ClassicGumtree;45;28;101;3;0.3;;1100;;;;;2;;
ClassicGumtree;45;28;108;3;0.3;;1200;;;;;2;;
ClassicGumtree;45;28;111;3;0.3;;1300;;;;;2;;
ClassicGumtree;45;28;85;3;0.3;;1400;;;;;2;;
ClassicGumtree;45;28;99;3;0.3;;1500;;;;;2;;
ClassicGumtree;37;24;15123;3;0.3;;1600;;;;;2;;
ClassicGumtree;37;24;15031;3;0.3;;1700;;;;;2;;
ClassicGumtree;37;24;15176;3;0.3;;1800;;;;;2;;
ClassicGumtree;37;24;15029;3;0.3;;1900;;;;;2;;
ClassicGumtree;37;24;15170;3;0.3;;2000;;;;;2;;
ClassicGumtree;211;39;19;3;0.3;;100;;;;;3;;
ClassicGumtree;157;48;70;3;0.3;;200;;;;;3;;
ClassicGumtree;157;48;126;3;0.3;;300;;;;;3;;
ClassicGumtree;157;48;173;3;0.3;;400;;;;;3;;
ClassicGumtree;157;48;189;3;0.3;;500;;;;;3;;
ClassicGumtree;157;48;141;3;0.3;;600;;;;;3;;
ClassicGumtree;157;48;170;3;0.3;;700;;;;;3;;
ClassicGumtree;157;48;105;3;0.3;;800;;;;;3;;
ClassicGumtree;157;48;166;3;0.3;;900;;;;;3;;
ClassicGumtree;157;48;149;3;0.3;;1000;;;;;3;;
ClassicGumtree;157;48;140;3;0.3;;1100;;;;;3;;
ClassicGumtree;157;48;102;3;0.3;;1200;;;;;3;;
ClassicGumtree;157;48;145;3;0.3;;1300;;;;;3;;
ClassicGumtree;157;48;100;3;0.3;;1400;;;;;3;;
ClassicGumtree;157;48;104;3;0.3;;1500;;;;;3;;
ClassicGumtree;37;24;15025;3;0.3;;1600;;;;;3;;
ClassicGumtree;37;24;15203;3;0.3;;1700;;;;;3;;
ClassicGumtree;37;24;14860;3;0.3;;1800;;;;;3;;
ClassicGumtree;37;24;15016;3;0.3;;1900;;;;;3;;
ClassicGumtree;37;24;14979;3;0.3;;2000;;;;;3;;
ClassicGumtree;606;68;19;3;0.3;;100;;;;;4;;
ClassicGumtree;505;74;194;3;0.3;;200;;;;;4;;
ClassicGumtree;505;74;146;3;0.3;;300;;;;;4;;
ClassicGumtree;505;74;354;3;0.3;;400;;;;;4;;
ClassicGumtree;505;74;194;3;0.3;;500;;;;;4;;
ClassicGumtree;505;74;194;3;0.3;;600;;;;;4;;
ClassicGumtree;505;74;161;3;0.3;;700;;;;;4;;
ClassicGumtree;505;74;147;3;0.3;;800;;;;;4;;
ClassicGumtree;505;74;137;3;0.3;;900;;;;;4;;
ClassicGumtree;505;74;146;3;0.3;;1000;;;;;4;;
ClassicGumtree;505;74;161;3;0.3;;1100;;;;;4;;
ClassicGumtree;505;74;139;3;0.3;;1200;;;;;4;;
ClassicGumtree;505;74;88;3;0.3;;1300;;;;;4;;
ClassicGumtree;505;74;108;3;0.3;;1400;;;;;4;;
ClassicGumtree;505;74;161;3;0.3;;1500;;;;;4;;
ClassicGumtree;37;24;14579;3;0.3;;1600;;;;;4;;
ClassicGumtree;37;24;14895;3;0.3;;1700;;;;;4;;
ClassicGumtree;37;24;14704;3;0.3;;1800;;;;;4;;
ClassicGumtree;37;24;14729;3;0.3;;1900;;;;;4;;
ClassicGumtree;37;24;14750;3;0.3;;2000;;;;;4;;
ClassicGumtree;902;80;6;3;0.3;;100;;;;;5;;
ClassicGumtree;801;86;88;3;0.3;;200;;;;;5;;
ClassicGumtree;801;86;76;3;0.3;;300;;;;;5;;
ClassicGumtree;801;86;62;3;0.3;;400;;;;;5;;
ClassicGumtree;801;86;73;3;0.3;;500;;;;;5;;
ClassicGumtree;801;86;90;3;0.3;;600;;;;;5;;
ClassicGumtree;801;86;71;3;0.3;;700;;;;;5;;
ClassicGumtree;801;86;70;3;0.3;;800;;;;;5;;
ClassicGumtree;801;86;64;3;0.3;;900;;;;;5;;
ClassicGumtree;801;86;79;3;0.3;;1000;;;;;5;;
ClassicGumtree;801;86;61;3;0.3;;1100;;;;;5;;
ClassicGumtree;801;86;85;3;0.3;;1200;;;;;5;;
ClassicGumtree;801;86;95;3;0.3;;1300;;;;;5;;
ClassicGumtree;801;86;77;3;0.3;;1400;;;;;5;;
ClassicGumtree;801;86;49;3;0.3;;1500;;;;;5;;
ClassicGumtree;37;24;15223;3;0.3;;1600;;;;;5;;
ClassicGumtree;37;24;14709;3;0.3;;1700;;;;;5;;
ClassicGumtree;37;24;14896;3;0.3;;1800;;;;;5;;
ClassicGumtree;37;24;14648;3;0.3;;1900;;;;;5;;
ClassicGumtree;37;24;15425;3;0.3;;2000;;;;;5;;
ClassicGumtree;72;12;6;3;0.4;;100;;;;;1;;
ClassicGumtree;39;26;165;3;0.4;;200;;;;;1;;
ClassicGumtree;39;26;116;3;0.4;;300;;;;;1;;
ClassicGumtree;39;26;152;3;0.4;;400;;;;;1;;
ClassicGumtree;39;26;87;3;0.4;;500;;;;;1;;
ClassicGumtree;39;26;133;3;0.4;;600;;;;;1;;
ClassicGumtree;39;26;101;3;0.4;;700;;;;;1;;
ClassicGumtree;39;26;95;3;0.4;;800;;;;;1;;
ClassicGumtree;39;26;98;3;0.4;;900;;;;;1;;
ClassicGumtree;39;26;81;3;0.4;;1000;;;;;1;;
ClassicGumtree;39;26;52;3;0.4;;1100;;;;;1;;
ClassicGumtree;39;26;91;3;0.4;;1200;;;;;1;;
ClassicGumtree;39;26;100;3;0.4;;1300;;;;;1;;
ClassicGumtree;39;26;92;3;0.4;;1400;;;;;1;;
ClassicGumtree;39;26;97;3;0.4;;1500;;;;;1;;
ClassicGumtree;37;24;15060;3;0.4;;1600;;;;;1;;
ClassicGumtree;37;24;14836;3;0.4;;1700;;;;;1;;
ClassicGumtree;37;24;14858;3;0.4;;1800;;;;;1;;
ClassicGumtree;37;24;15178;3;0.4;;1900;;;;;1;;
ClassicGumtree;37;24;14849;3;0.4;;2000;;;;;1;;
ClassicGumtree;88;18;22;3;0.4;;100;;;;;2;;
ClassicGumtree;45;28;94;3;0.4;;200;;;;;2;;
ClassicGumtree;45;28;74;3;0.4;;300;;;;;2;;
ClassicGumtree;45;28;101;3;0.4;;400;;;;;2;;
ClassicGumtree;45;28;73;3;0.4;;500;;;;;2;;
ClassicGumtree;45;28;110;3;0.4;;600;;;;;2;;
ClassicGumtree;45;28;108;3;0.4;;700;;;;;2;;
ClassicGumtree;45;28;112;3;0.4;;800;;;;;2;;
ClassicGumtree;45;28;78;3;0.4;;900;;;;;2;;
ClassicGumtree;45;28;98;3;0.4;;1000;;;;;2;;
ClassicGumtree;45;28;96;3;0.4;;1100;;;;;2;;
ClassicGumtree;45;28;105;3;0.4;;1200;;;;;2;;
ClassicGumtree;45;28;62;3;0.4;;1300;;;;;2;;
ClassicGumtree;45;28;100;3;0.4;;1400;;;;;2;;
ClassicGumtree;45;28;103;3;0.4;;1500;;;;;2;;
ClassicGumtree;37;24;14652;3;0.4;;1600;;;;;2;;
ClassicGumtree;37;24;14514;3;0.4;;1700;;;;;2;;
ClassicGumtree;37;24;14694;3;0.4;;1800;;;;;2;;
ClassicGumtree;37;24;14695;3;0.4;;1900;;;;;2;;
ClassicGumtree;37;24;14570;3;0.4;;2000;;;;;2;;
ClassicGumtree;211;39;5;3;0.4;;100;;;;;3;;
ClassicGumtree;157;48;101;3;0.4;;200;;;;;3;;
ClassicGumtree;157;48;102;3;0.4;;300;;;;;3;;
ClassicGumtree;157;48;85;3;0.4;;400;;;;;3;;
ClassicGumtree;157;48;80;3;0.4;;500;;;;;3;;
ClassicGumtree;157;48;124;3;0.4;;600;;;;;3;;
ClassicGumtree;157;48;126;3;0.4;;700;;;;;3;;
ClassicGumtree;157;48;142;3;0.4;;800;;;;;3;;
ClassicGumtree;157;48;136;3;0.4;;900;;;;;3;;
ClassicGumtree;157;48;71;3;0.4;;1000;;;;;3;;
ClassicGumtree;157;48;112;3;0.4;;1100;;;;;3;;
ClassicGumtree;157;48;91;3;0.4;;1200;;;;;3;;
ClassicGumtree;157;48;94;3;0.4;;1300;;;;;3;;
ClassicGumtree;157;48;90;3;0.4;;1400;;;;;3;;
ClassicGumtree;157;48;99;3;0.4;;1500;;;;;3;;
ClassicGumtree;37;24;14593;3;0.4;;1600;;;;;3;;
ClassicGumtree;37;24;14431;3;0.4;;1700;;;;;3;;
ClassicGumtree;37;24;14629;3;0.4;;1800;;;;;3;;
ClassicGumtree;37;24;14536;3;0.4;;1900;;;;;3;;
ClassicGumtree;37;24;14426;3;0.4;;2000;;;;;3;;
ClassicGumtree;606;68;28;3;0.4;;100;;;;;4;;
ClassicGumtree;505;74;75;3;0.4;;200;;;;;4;;
ClassicGumtree;505;74;66;3;0.4;;300;;;;;4;;
ClassicGumtree;505;74;82;3;0.4;;400;;;;;4;;
ClassicGumtree;505;74;83;3;0.4;;500;;;;;4;;
ClassicGumtree;505;74;79;3;0.4;;600;;;;;4;;
ClassicGumtree;505;74;73;3;0.4;;700;;;;;4;;
ClassicGumtree;505;74;79;3;0.4;;800;;;;;4;;
ClassicGumtree;505;74;76;3;0.4;;900;;;;;4;;
ClassicGumtree;505;74;70;3;0.4;;1000;;;;;4;;
