MATCHER;NRACTIONS;NRROOTS;TIME;NROPTIONS;GT_BUM_SMT;GT_BUM_SMT_SBUP;GT_BUM_SZT;GT_CD_LSIM;GT_CD_ML;GT_CD_SSIM1;GT_CD_SSIM2;GT_STM_MH;GT_XYM_SIM;GUMTREE_MATCH_GT_MINH
SimpleGumtree;29;16;157;2;;0.1;;;;;;1;;
SimpleGumtree;29;16;152;2;;0.2;;;;;;1;;
SimpleGumtree;29;16;152;2;;0.3;;;;;;1;;
SimpleGumtree;29;16;137;2;;0.4;;;;;;1;;
SimpleGumtree;29;16;146;2;;0.5;;;;;;1;;
SimpleGumtree;29;16;148;2;;0.6;;;;;;1;;
SimpleGumtree;29;16;135;2;;0.7;;;;;;1;;
SimpleGumtree;29;16;136;2;;0.799;;;;;;1;;
SimpleGumtree;29;16;166;2;;0.899;;;;;;1;;
SimpleGumtree;29;16;158;2;;0.999;;;;;;1;;
SimpleGumtree;29;16;109;2;;0.1;;;;;;2;;
SimpleGumtree;29;16;74;2;;0.2;;;;;;2;;
SimpleGumtree;29;16;79;2;;0.3;;;;;;2;;
SimpleGumtree;29;16;106;2;;0.4;;;;;;2;;
SimpleGumtree;29;16;83;2;;0.5;;;;;;2;;
SimpleGumtree;29;16;80;2;;0.6;;;;;;2;;
SimpleGumtree;29;16;105;2;;0.7;;;;;;2;;
SimpleGumtree;29;16;63;2;;0.799;;;;;;2;;
SimpleGumtree;29;16;70;2;;0.899;;;;;;2;;
SimpleGumtree;29;16;82;2;;0.999;;;;;;2;;
SimpleGumtree;34;16;116;2;;0.1;;;;;;3;;
SimpleGumtree;34;16;120;2;;0.2;;;;;;3;;
SimpleGumtree;34;16;60;2;;0.3;;;;;;3;;
SimpleGumtree;34;16;97;2;;0.4;;;;;;3;;
SimpleGumtree;34;16;58;2;;0.5;;;;;;3;;
SimpleGumtree;34;16;78;2;;0.6;;;;;;3;;
SimpleGumtree;34;16;88;2;;0.7;;;;;;3;;
SimpleGumtree;34;16;105;2;;0.799;;;;;;3;;
SimpleGumtree;34;16;111;2;;0.899;;;;;;3;;
SimpleGumtree;34;16;21;2;;0.999;;;;;;3;;
SimpleGumtree;34;16;20;2;;0.1;;;;;;4;;
SimpleGumtree;34;16;39;2;;0.2;;;;;;4;;
SimpleGumtree;34;16;145;2;;0.3;;;;;;4;;
SimpleGumtree;34;16;24;2;;0.4;;;;;;4;;
SimpleGumtree;34;16;128;2;;0.5;;;;;;4;;
SimpleGumtree;34;16;130;2;;0.6;;;;;;4;;
SimpleGumtree;34;16;140;2;;0.7;;;;;;4;;
SimpleGumtree;34;16;91;2;;0.799;;;;;;4;;
SimpleGumtree;34;16;27;2;;0.899;;;;;;4;;
SimpleGumtree;34;16;26;2;;0.999;;;;;;4;;
SimpleGumtree;34;16;30;2;;0.1;;;;;;5;;
SimpleGumtree;34;16;26;2;;0.2;;;;;;5;;
SimpleGumtree;34;16;38;2;;0.3;;;;;;5;;
SimpleGumtree;34;16;39;2;;0.4;;;;;;5;;
SimpleGumtree;34;16;32;2;;0.5;;;;;;5;;
SimpleGumtree;34;16;47;2;;0.6;;;;;;5;;
SimpleGumtree;34;16;31;2;;0.7;;;;;;5;;
SimpleGumtree;34;16;41;2;;0.799;;;;;;5;;
SimpleGumtree;34;16;42;2;;0.899;;;;;;5;;
SimpleGumtree;34;16;59;2;;0.999;;;;;;5;;
ClassicGumtree;72;12;111;3;0.1;;100;;;;;1;;
ClassicGumtree;39;26;840;3;0.1;;200;;;;;1;;
ClassicGumtree;39;26;796;3;0.1;;300;;;;;1;;
ClassicGumtree;39;26;649;3;0.1;;400;;;;;1;;
ClassicGumtree;39;26;787;3;0.1;;500;;;;;1;;
ClassicGumtree;39;26;827;3;0.1;;600;;;;;1;;
ClassicGumtree;39;26;760;3;0.1;;700;;;;;1;;
ClassicGumtree;39;26;805;3;0.1;;800;;;;;1;;
ClassicGumtree;39;26;699;3;0.1;;900;;;;;1;;
ClassicGumtree;39;26;747;3;0.1;;1000;;;;;1;;
ClassicGumtree;39;26;599;3;0.1;;1100;;;;;1;;
ClassicGumtree;39;26;437;3;0.1;;1200;;;;;1;;
ClassicGumtree;39;26;463;3;0.1;;1300;;;;;1;;
ClassicGumtree;39;26;486;3;0.1;;1400;;;;;1;;
ClassicGumtree;39;26;459;3;0.1;;1500;;;;;1;;
ClassicGumtree;37;24;17083;3;0.1;;1600;;;;;1;;
ClassicGumtree;37;24;17179;3;0.1;;1700;;;;;1;;
ClassicGumtree;37;24;17216;3;0.1;;1800;;;;;1;;
ClassicGumtree;37;24;16927;3;0.1;;1900;;;;;1;;
ClassicGumtree;37;24;17185;3;0.1;;2000;;;;;1;;
ClassicGumtree;88;18;32;3;0.1;;100;;;;;2;;
ClassicGumtree;45;28;639;3;0.1;;200;;;;;2;;
ClassicGumtree;45;28;449;3;0.1;;300;;;;;2;;
ClassicGumtree;45;28;369;3;0.1;;400;;;;;2;;
ClassicGumtree;45;28;352;3;0.1;;500;;;;;2;;
ClassicGumtree;45;28;317;3;0.1;;600;;;;;2;;
ClassicGumtree;45;28;126;3;0.1;;700;;;;;2;;
ClassicGumtree;45;28;125;3;0.1;;800;;;;;2;;
ClassicGumtree;45;28;197;3;0.1;;900;;;;;2;;
ClassicGumtree;45;28;170;3;0.1;;1000;;;;;2;;
ClassicGumtree;45;28;190;3;0.1;;1100;;;;;2;;
ClassicGumtree;45;28;116;3;0.1;;1200;;;;;2;;
ClassicGumtree;45;28;148;3;0.1;;1300;;;;;2;;
ClassicGumtree;45;28;111;3;0.1;;1400;;;;;2;;
ClassicGumtree;45;28;114;3;0.1;;1500;;;;;2;;
ClassicGumtree;37;24;16129;3;0.1;;1600;;;;;2;;
ClassicGumtree;37;24;16454;3;0.1;;1700;;;;;2;;
ClassicGumtree;37;24;16760;3;0.1;;1800;;;;;2;;
ClassicGumtree;37;24;16778;3;0.1;;1900;;;;;2;;
ClassicGumtree;37;24;16584;3;0.1;;2000;;;;;2;;
ClassicGumtree;211;39;25;3;0.1;;100;;;;;3;;
ClassicGumtree;157;48;139;3;0.1;;200;;;;;3;;
ClassicGumtree;157;48;115;3;0.1;;300;;;;;3;;
ClassicGumtree;157;48;118;3;0.1;;400;;;;;3;;
ClassicGumtree;157;48;105;3;0.1;;500;;;;;3;;
ClassicGumtree;157;48;136;3;0.1;;600;;;;;3;;
ClassicGumtree;157;48;142;3;0.1;;700;;;;;3;;
ClassicGumtree;157;48;137;3;0.1;;800;;;;;3;;
ClassicGumtree;157;48;135;3;0.1;;900;;;;;3;;
ClassicGumtree;157;48;141;3;0.1;;1000;;;;;3;;
ClassicGumtree;157;48;162;3;0.1;;1100;;;;;3;;
ClassicGumtree;157;48;145;3;0.1;;1200;;;;;3;;
ClassicGumtree;157;48;99;3;0.1;;1300;;;;;3;;
ClassicGumtree;157;48;123;3;0.1;;1400;;;;;3;;
ClassicGumtree;157;48;132;3;0.1;;1500;;;;;3;;
ClassicGumtree;37;24;15868;3;0.1;;1600;;;;;3;;
ClassicGumtree;37;24;15829;3;0.1;;1700;;;;;3;;
ClassicGumtree;37;24;15927;3;0.1;;1800;;;;;3;;
ClassicGumtree;37;24;15572;3;0.1;;1900;;;;;3;;
ClassicGumtree;37;24;15825;3;0.1;;2000;;;;;3;;
ClassicGumtree;606;68;8;3;0.1;;100;;;;;4;;
ClassicGumtree;505;74;187;3;0.1;;200;;;;;4;;
ClassicGumtree;505;74;142;3;0.1;;300;;;;;4;;
ClassicGumtree;505;74;52;3;0.1;;400;;;;;4;;
ClassicGumtree;505;74;116;3;0.1;;500;;;;;4;;
