DIFFID,L_SIZE,L_HEIGHT,L_STRUCTHASH,R_SIZE,R_HEIGHT,R_STRUCTHASH
40_4527a23b8f362e841d37cd27060f5b94d09af86e_CorrelationModeTest,203,8,794009973,150,8,-1429959802,
40_98498d997f5c8230250cdaf1adc1d8ee533a39dd_GenerateJsVisitor,7826,19,-1492084272,7772,19,-441633314,
40_f72e8a4ac93d06aafa177129cc27ca0a9d7d4110_SAToolsPlayerListener,396,20,1837747156,318,20,-447253382,
40_31285e3b682eb6e13940ee2d676cdd318718b7f8_MavenModelMerger,1585,11,-1503787617,1677,11,-1143975731,
40_ca8965deeb4d287a3e8ef9664d94b3cd82c3ec07_INMarionCountyParserTest,167,4,-1191768433,211,4,-762082175,
40_765ef188d315f086232d049f28ac0114f4a64325_CapturarFotoDialog,924,12,1146530456,816,11,-491531040,
40_a12aa9e10c486b1f2c47a0462feacff946878c77_DigitsEditText,344,11,-1470211730,353,11,318157079,
40_206cd835ec644bba5def461b55f635fa79b6cfe6_WSATSimpleServletClient,146,8,737600032,146,8,737600032,
40_52e6327467dade97d544abb1f4262583ab7d2a12_CustomScoreSearchTests,1276,14,-525815354,1570,14,2125299072,
40_7adbad23b1293e0408dea170881911da78b57278_Env,11130,17,-448496396,11185,17,159942871,
40_8005db5f5b1b6000c6e2f9ad5171f7e69bf6e1a7_DbFacade,1101,11,-609157365,1101,11,-900030501,
40_38713a10321bf4580c15833bd1571703d958009c_SQLTest,4758,16,-1012066796,4883,16,-2062342575,
40_60205ff37a0101955e2334b03328e2f678ee4be7_Pathfinder,3814,14,-197094636,3974,14,-1341248748,
40_23e7ab733139d07c8f583728d1de9db750f6b99d_NodeInst,8364,19,-25551078,8496,19,-103538400,
40_2344c18bcdd2f10b5d4f4534620ce87ded59545e_RpcCodecUtils,664,14,-845675860,689,14,-105173871,
40_35f7a63995a2c638aaa3b396f2abe66629d7de38_SimplifiedRoadMapOfPartOfRomania,376,5,-1633127336,376,5,-1633127336,
40_ae4d3cf2d0852895758f5b543c95b0a1b635342f_CollectionActivity,609,12,-131139627,623,14,-1733806953,
40_b47e63ff153730bc378fabea2224f9e909affed7_HtmlValidationHttpClient,227,12,765208625,227,12,765208625,
40_55b7e7cc27079ccbeca0577af9ea9f932ecd4971_PerforceMailResolver,17,4,539555657,81,12,-1597724807,
40_d7fe4f2434a8a612c7135990e164127c602aaa4e_StatementGeneratorTest,3628,13,1152956674,3638,13,-868942380,
40_6b6a3292c3cf8516f228277d90f78e9d5c98dace_JBand,3153,21,-1809929445,3209,21,229516833,
40_cb976b9f0dfc28a2992eb42967c8cb3cd41057ac_Promotion,822,14,-1292303800,827,14,-699276995,
40_8c8b7bee3a2d71629484258f6bb625f526a2b046_SimpleIndexQueryParserTests,7247,13,1938432433,7448,13,1792737946,
40_6ffef33da18237badf130d3c4055d6be59d8afe2_AbstractMatrixTest,4768,8,-1791653446,4902,8,1151989436,
40_b7d76e52660dc85c8de51be2d9e045d2527a75ab_Material,2552,21,-863515206,2552,21,-863515206,
40_1d987c51198b184f1e721c98f613f1b3ea429335_BuilderTest,2591,11,667029885,2681,11,379414795,
40_8506fc2084b701dbf66059b2aaa0d990a3583d57_CompilerTest,1931,20,-488973299,2005,20,-958458337,
40_e580defbfd28f8128a469da98c233fc58a0a8a5c_MappingComponent,59,7,-1316119007,59,7,-1316119007,
40_80287adfc3f85116bf6a36f110ae74035c8c28c1_ExtCallManager,2436,15,1306171104,2322,15,1008746538,
40_cac8d046d0c672d8ee417a3a502ca52816451471_JNADeclarationsConverter,3113,21,-2073723777,3150,21,1265777216,
40_ccbf60726eb0de2ca27a3c25e27e24fe62f46bba_Util,815,16,-2073505487,892,16,2138760722,
40_72640b0408fc27b75f0f6322b74e08c6365d8910_ScriptContext,424,9,425385548,503,9,-1330226465,
40_b8d4ad89e99dbddabfb8cf74fd635ab173f27386_StatsProvider,5034,19,1373119940,5127,19,-267388581,
40_edfbef6b5d01401f1ea23b3f11692dfdde569861_CastingTest,276,51,740225282,236,31,890616314,
40_1e1db29ec379a1722d7e4a5b6971be067b47b356_DigitsEditText,344,11,-1470211730,353,11,318157079,
40_5cd6d46a300c50458eefabdb28d72f90370e1c9f_RetryScheduler,801,19,611399257,788,19,-125567132,
40_77925c56701cd71129ce86d8e87ffd640f89b4ab_Connection,133,7,659579141,318,9,-128067624,
40_f10494546bfbad26ede1ddef6099a747c956105e_TestBean,29,6,1177955545,29,6,1177955545,
40_3812b15816747e92df4066cacabcd643ddd70f16_GuiEditSign,1055,13,1728790799,966,13,1323542702,
40_0177062cb415963c90e365a1c9a1bfb2a463db57_MainGUI,2094,14,842897272,2094,14,842897272,
40_1cc59b7910c2c3b90e4ecd6938b97240e92d757b_TileEntityElectrical,473,16,1786408641,526,18,-837869176,
40_0fe9713605e2adfe7e0b586dc74c7548367b5bae_LogX,601,9,1628748307,525,9,-1628201573,
40_5bf52813f4b67d32b0d0eb0e43d5b19194aa9033_FibonacciTest,135,5,-1919521161,135,5,-1919521161,
40_56794d31f27cf6e75d4fcfbbc8e144fe3fe7a3a0_DescriptiveTest,185,11,-1828670299,125,11,1526676417,
40_f36d5017308279026771c1bf4d94f72968f1f1ae_ProductBMPBean,2598,16,-1486364962,2610,16,885547566,
40_d2423ffa514170ced3930a360f29975eacde09e3_UIData,136,10,-653969018,136,10,-653969018,
40_74e7382ef413900f9d650a59a6dde7c5eebcefc6_Inventory,1844,20,-941377802,1844,20,-941377802,
40_941f8b82d5e31625eceddcf2a75476c999a6f4cf_FileClientHelper,1333,26,1128640109,1344,26,1971478152,
40_af9775cc9a0da9b4564113bb4df5f9b2a0a4ec04_Check,2464,23,916691724,2514,23,-878885686,
40_8738ad3bb0d4587237f1bc85dcf08c250c3b7c24_GraphUtil,473,14,-1851890721,570,14,587826222,
40_99184655939952fb936e2d8c05c7f8ac817e9ff8_EventSourceToAMF3Encoder,34,6,753994184,36,6,-905489484,
40_d852109036795f0ad17b400ec3c594a1978ad707_BpelRuntimeContextImpl,4131,17,2058936843,4136,17,-1486806048,
40_b95b60e059d3f980183977ed671331691bf23153_SocialWrapperTester,1563,16,1354448925,1525,16,1966836377,
40_4a4fa56758cded7cce9575f9340234694574f76b_Calculator,17,4,-2139307081,17,4,-2139307081,
40_5d5d1fd17aeceac21f3feadcf018fd5f462d57e8_ImageUtil,1488,13,1265939140,1534,13,1113054550,
40_8b1e497d0b847e5dcdd555155288ddc880487458_LanguageChooser,70,9,-1676684652,70,9,-1676684652,
40_331764445191c6bf12ecca4e544fea52cd449af8_DeleteHandler,115,9,-218519613,124,11,1817510408,
40_cde1889f7e08cf428dcba00f646be88a18cbd4b0_CPControllerApplication,1424,15,1545007902,1462,15,2091394430,
40_47f62e4a83366dc3f8102864207a8b73cec072e5_LargeCalTag,615,22,-1014385415,615,22,-1014385415,
40_2304fc94bdddfd1caec8d0eb8fed65e84e7e1545_DefaultConverter,973,36,-1203465005,978,36,1720877768,
40_851661f40c542a941d14f7661a2b913b5e3f163c_HrefTaglet,187,10,-2134022225,140,10,-186370250,
40_5799f77d69819d83f09faf3f7ee6a34131a72edd_ExpressionViewer,2708,20,-388733228,2764,20,-174944272,
40_e46c33ea9eaec502229af81ce8a96594ec5f0c7e_ExaltedSourceBook,470,7,1687540734,478,7,740471210,
40_075ddea2f15a9b71d1626217c3d28d013fbb7198_BuilderTest,2591,11,667029885,2681,11,379414795,
40_fa111b85b869a029843a20fec80d092b37be6ce2_LLFRewardsCommands,621,16,-6011627,713,18,-1695953559,
