groupid,nrdiff,sum_total_time_group_min,sum_total_time_group_hr,avgTimeAllPairsOfGroup_min,avgTimeAllPairsOfGroup_hr,medianTimeAllPairsOfGroup_min,stdTimeAllPairsOfGroup_min,avgTimeSingleConfig_sec,stdTimeSingleConfig_sec,avgNrSuccessfulConfig,avgNrTimeoutConfig
1,374,26636.726083333335,443.9454347222222,71.22119273618539,1.1870198789364232,22.205625,121.13835514436067,1.841172180826202,3.214037674980429,2380.6363636363635,18.545454545454547
2,441,30692.885416666668,511.54809027777776,69.59837962962963,1.1599729938271606,16.999683333333333,126.77191338404886,1.7926878173900844,3.340501976452697,2387.891156462585,10.782312925170068
3,505,27907.429416666666,465.1238236111111,55.26223646864686,0.9210372744774477,18.272933333333334,99.1381358041892,1.418300460937484,2.6276384665919306,2384.2336633663367,10.924752475247525
4,472,22995.9555,383.265925,48.72024470338983,0.8120040783898305,14.452908333333333,99.09424575625958,1.2491090504741527,2.617538654386671,2383.637711864407,12.351694915254237
5,412,23462.811216666665,391.0468536111111,56.94857091423948,0.949142848570658,15.027891666666667,109.31745060728787,1.480858377956817,2.9380026403963373,2378.902912621359,18.57281553398058
6,408,24408.071233333332,406.8011872222222,59.82370400326798,0.9970617333877996,11.956583333333333,114.40568589743518,1.5361019750109393,3.012222342889038,2388.139705882353,10.504901960784315
7,326,18102.975333333332,301.71625555555556,55.530599182004096,0.9255099863667349,14.650316666666667,115.82766650979924,1.4462049638479808,3.2878880894773745,2386.7730061349694,11.14723926380368
8,491,27199.819633333333,453.3303272222222,55.39678133061779,0.9232796888436298,11.8773,109.43529125483798,1.4430781210374768,2.9474524977890932,2380.3156822810593,16.181262729124235
9,552,29309.94445,488.4990741666667,53.09772545289855,0.8849620908816426,12.542558333333334,107.00004417583007,1.3652690579636997,2.8202230729988385,2387.6014492753625,6.405797101449275
10,448,30114.18855,501.9031425,67.2191708705357,1.1203195145089286,17.160675,127.6663281426674,1.7580250376131914,3.478328295285416,2383.8816964285716,13.897321428571429
11,487,28175.647866666666,469.5941311111111,57.85553976728268,0.964258996121378,16.48356666666667,107.65095586025097,1.4818466961073649,2.8161660050616115,2388.318275154004,9.669404517453799
12,500,29629.803333333333,493.83005555555553,59.25960666666666,0.9876601111111111,14.060216666666667,116.49236620033413,1.547261782789439,3.147953440946332,2384.214,14.198
13,480,29498.204583333332,491.63674305555554,61.45459288194444,1.024243214699074,15.21925,118.17092445479591,1.6079291535514555,3.2048140570051005,2379.7291666666665,14.322916666666666
14,453,26415.54351666667,440.25905861111113,58.3124580941869,0.9718743015697817,10.8435,108.29908562621621,1.488539031292559,2.8213685001990862,2387.8278145695363,10.64459161147903
15,311,23596.269866666666,393.2711644444444,75.87225037513397,1.2645375062522328,13.045083333333332,139.24254536135805,2.0135153410997693,3.929441998518121,2368.1704180064307,24.244372990353696
16,506,30415.232766666668,506.9205461111111,60.10915566534914,1.0018192610891523,17.810158333333334,113.32890507573123,1.5457728307991452,2.993529357759598,2389.413043478261,8.776679841897232
17,388,27192.418333333335,453.20697222222225,70.08355240549828,1.1680592067583047,18.856441666666665,122.88584237234593,1.8267930154684136,3.336236960825578,2375.685567010309,22.15463917525773
18,557,30001.847683333333,500.0307947222222,53.863281298623576,0.8977213549770596,14.6766,104.12338330760565,1.3930314059137872,2.8097495303727307,2389.4973070017954,8.364452423698385
19,446,27389.85885,456.4976475,61.41223957399104,1.023537326233184,15.291483333333334,118.8399658029432,1.6196596134592292,3.491629783092887,2382.804932735426,15.73542600896861
20,243,17192.337116666666,286.5389519444444,70.7503585048011,1.179172641746685,17.185616666666668,155.9838120202215,2.3149746994037037,9.551851932295435,2365.962962962963,29.567901234567902
21,493,28453.92725,474.23212083333334,57.71587677484787,0.9619312795807978,14.9224,117.80882866486657,1.5357078238229418,3.4933220778138776,2382.744421906694,14.981744421906694
22,430,28396.5584,473.27597333333335,66.03850790697675,1.1006417984496124,17.713058333333333,128.35488858927533,1.7319395378314957,3.6932241726079806,2383.546511627907,14.2
23,308,22664.293616666666,377.7382269444444,73.58536888528138,1.2264228147546898,16.744191666666666,144.0423748946224,1.94805919974184,3.9868558714936535,2375.3766233766232,22.675324675324674
24,545,29402.506416666667,490.0417736111111,53.94955305810397,0.8991592176350662,16.331416666666666,102.81370333368952,1.3909536089591317,2.7545675219479384,2387.629357798165,9.456880733944955
25,391,23926.54775,398.77579583333335,61.19321675191816,1.0198869458653026,16.591033333333332,111.26805684504035,1.5756968102511215,2.9450906679288815,2386.0306905370844,12.061381074168798
26,430,25447.183316666666,424.11972194444445,59.17949608527132,0.986324934754522,16.855608333333333,110.04289136917123,1.5564543303516125,3.0829266385199987,2378.5813953488373,17.162790697674417
27,408,27443.706783333335,457.39511305555556,67.26398721405229,1.121066453567538,16.9536,118.3475392374531,1.75052619656675,3.18800992163875,2379.4411764705883,18.563725490196077
28,357,25080.420616666666,418.0070102777778,70.25327903828199,1.1708879839713664,20.034866666666666,126.56256840276568,1.8600783174731133,3.618805169100822,2375.8207282913163,21.81512605042017
29,296,22920.80075,382.01334583333335,77.43513766891891,1.2905856278153152,25.480458333333335,123.55410113751626,1.987513314799901,3.2341889564894815,2379.2567567567567,18.574324324324323
30,459,28832.60505,480.5434175,62.81613300653594,1.0469355501089324,17.4743,105.24839587605241,1.6126265210297106,2.783605590640459,2383.640522875817,10.797385620915033
31,320,23082.89153333333,384.7148588888889,72.13403604166666,1.2022339340277777,25.431433333333334,120.2096963094539,1.8646890546470734,3.201849692615018,2376.8,20.3625
32,400,27460.952266666667,457.6825377777778,68.65238066666666,1.1442063444444444,25.971641666666667,124.10891953155534,1.7682936212065408,3.34004621483145,2382.9125,15.14
33,269,27492.025533333333,458.20042555555557,102.20083841387856,1.703347306897976,39.719966666666664,140.52200043894965,2.64949351833088,3.755028146910833,2371.1895910780668,25.992565055762082
34,295,26773.9769,446.23294833333335,90.75924372881356,1.5126540621468927,30.3223,142.30351038861835,2.3315231834774153,3.722194279687906,2378.891525423729,19.79322033898305
35,320,24428.523816666668,407.1420636111111,76.33913692708333,1.2723189487847222,32.325875,114.09561268532043,1.942152759945025,2.965240574062546,2389.675,8.603125
36,321,28956.820033333333,482.6136672222222,90.20816209761163,1.5034693682935272,33.44481666666667,134.1290771635508,2.3322355182053727,3.5721585865841625,2380.3956386292834,17.753894080996886
37,352,26571.5999,442.85999833333335,75.4874997159091,1.2581249952651516,26.195483333333332,121.76572401770045,1.9406987769485584,3.2121660467380635,2386.3551136363635,11.650568181818182
38,155,14828.207616666667,247.1367936111111,95.66585559139786,1.5944309265232977,35.4643,153.3713677973947,2.5000281288420023,4.087721873754145,2369.6451612903224,28.703225806451613
39,118,11368.0348,189.46724666666665,96.3392779661017,1.6056546327683616,43.28203333333333,133.17875354961583,2.4676005847847398,3.481196790577989,2341.5169491525426,38.83898305084746
40,78,7461.6785,124.36130833333333,95.66254487179486,1.5943757478632479,35.673541666666665,142.128779287424,2.528280047238027,3.9081361629556866,2372.6794871794873,25.025641025641026
