groupid,nrdiff,sum_total_time_group_min,sum_total_time_group_hr,avgTimeAllPairsOfGroup_min,avgTimeAllPairsOfGroup_hr,medianTimeAllPairsOfGroup_min,stdTimeAllPairsOfGroup_min,avgTimeSingleConfig_sec,stdTimeSingleConfig_sec,avgNrSuccessfulConfig,avgNrTimeoutConfig
1,2,14.649833333333333,0.2441638888888889,7.324916666666667,0.12208194444444445,7.324916666666667,4.98695,0.18312291666666666,0.12467375000000001,2400,0
2,27,710.55565,11.842594166666666,26.316875925925924,0.4386145987654321,16.5517,34.210134686912504,0.657921898148148,0.8552533671728125,2400,0
3,4,28.386533333333333,0.4731088888888889,7.096633333333333,0.11827722222222223,5.6695166666666665,6.219553805204464,0.17741583333333333,0.1554888451301116,2400,0
4,39,714.0605833333333,11.901009722222222,18.309245726495725,0.30515409544159544,10.29805,27.162261862637084,0.45773114316239316,0.679056546565927,2400,0
5,13,673.8836666666666,11.231394444444444,51.83720512820513,0.8639534188034188,12.267583333333333,94.28033431426145,1.295930128205128,2.3570083578565364,2400,0
6,24,712.22365,11.870394166666667,29.675985416666666,0.49459975694444447,3.975258333333333,71.02930286495749,0.7418996354166667,1.7757325716239374,2400,0
7,8,160.81025,2.6801708333333334,20.10128125,0.3350213541666667,19.604375,15.215182450638276,0.50253203125,0.38037956126595684,2400,0
8,5,36.75046666666667,0.6125077777777778,7.350093333333333,0.12250155555555554,1.0600833333333333,13.239775987650916,0.18375233333333332,0.33099439969127287,2400,0
9,7,213.4012,3.5566866666666668,30.485885714285715,0.5080980952380952,14.979283333333333,36.843060540695475,0.7621471428571428,0.9210765135173867,2400,0
10,8,464.17205,7.736200833333333,58.02150625,0.9670251041666666,12.01035,125.21027680408513,1.45053765625,3.130256920102129,2400,0
11,2,45.71375,0.7618958333333333,22.856875,0.38094791666666666,22.856875,22.822175,0.571421875,0.570554375,2400,0
12,3,34.371316666666665,0.5728552777777778,11.457105555555556,0.19095175925925928,4.309683333333333,11.893957407567285,0.2864276388888889,0.2973489351891821,2400,0
13,25,710.3533166666666,11.839221944444445,28.414132666666667,0.4735688777777778,11.74505,42.96971734165055,0.7103533166666667,1.074242933541264,2400,0
14,21,660.74225,11.012370833333334,31.463916666666666,0.5243986111111111,3.0143833333333334,70.20754599673361,0.7865979166666666,1.7551886499183402,2400,0
15,9,491.00303333333335,8.183383888888889,54.55589259259259,0.9092648765432099,25.211166666666667,86.65890055125492,1.3638973148148148,2.166472513781373,2400,0
16,6,297.84391666666664,4.964065277777777,49.640652777777774,0.8273442129629629,13.74655,70.241399447982,1.2410163194444443,1.7560349861995497,2400,0
17,25,638.4435833333333,10.640726388888888,25.537743333333335,0.4256290555555556,13.988066666666667,32.44244336644377,0.6384435833333333,0.8110610841610941,2400,0
18,9,82.02415,1.3670691666666666,9.113794444444444,0.15189657407407406,5.049033333333333,11.495036206535755,0.2278448611111111,0.28737590516339384,2400,0
