config,algo,property,value,percentage_best,best_sizePerConfiguration_len,best_sizePerConfiguration_mean,best_sizePerConfiguration_median,best_sizePerConfiguration_stdev,notbest_sizePerConfiguration_len,notbest_sizePerConfiguration_mean,notbest_sizePerConfiguration_median,notbest_sizePerConfiguration_stdev,sizePerConfiguration_Mann-Whitney_U_stat,sizePerConfiguration_Mann-Whitney_U_p
ClassicGumtree-GT_BUM_SZT-500,ClassicGumtree,GT_BUM_SZT,500,0.4454464182786086,583472,499.74297652672277,253.0,1190.9407230199831,726387,1950.6548988349186,1070.0,3343.4852029678004,55722849356.5,0.00000
ClassicGumtree-GT_BUM_SZT-600,ClassicGumtree,GT_BUM_SZT,600,0.4854642085195306,635845,510.9685992655443,278.0,1157.2311247407501,673922,2053.0133383388584,1157.0,3445.2723548530794,58001486831.0,0.00000
ClassicGumtree-GT_BUM_SZT-700,ClassicGumtree,GT_BUM_SZT,700,0.517883325391298,678162,524.8609521028899,300.0,1137.4824458929677,631326,2142.0529742161734,1241.0,3536.5741118144215,60521387305.5,0.00000
ClassicGumtree-GT_BUM_SZT-800,ClassicGumtree,GT_BUM_SZT,800,0.5453637331467839,714096,539.5304776948758,318.0,1119.2498864413044,595298,2222.296139076563,1316.0,3623.2042820679353,63218580255.0,0.00000
ClassicGumtree-GT_BUM_SZT-900,ClassicGumtree,GT_BUM_SZT,900,0.5686342951503829,744489,554.5020369676382,334.0,1107.6633746989214,564769,2293.40035483534,1394.0,3702.97806221443,65903900681.5,0.00000
ClassicGumtree-GT_BUM_SZT-1000,ClassicGumtree,GT_BUM_SZT,1000,0.588746513169754,770794,572.4654732652303,349.0,1377.6396237343567,538418,2352.746483215643,1463.0,3646.9468857551874,68575538678.0,0.00000
ClassicGumtree-GT_BUM_SZT-1100,ClassicGumtree,GT_BUM_SZT,1100,0.6064345072181581,793901,588.1410805629417,361.0,1367.471735339907,515228,2408.6445534792365,1529.0,3714.4091413626493,71200102138.0,0.00000
ClassicGumtree-GT_BUM_SZT-1200,ClassicGumtree,GT_BUM_SZT,1200,0.6218194929522378,814004,602.6496319428405,373.0,1354.77986448502,495064,2458.777883263578,1596.0,3780.0339661773914,73673444738.0,0.00000
ClassicGumtree-GT_BUM_SZT-1300,ClassicGumtree,GT_BUM_SZT,1300,0.6349580794866408,831176,617.6300747374804,384.0,1356.0186420315854,477849,2499.528547721142,1657.0,3834.3672214828835,75972919834.0,0.00000
ClassicGumtree-GT_BUM_SZT-1400,ClassicGumtree,GT_BUM_SZT,1400,0.6456660249358269,845151,630.4628036883349,393.0,1351.8737709737484,463809,2533.013233895849,1705.0,3884.865396407606,77940829357.0,0.00000
ClassicGumtree-GT_BUM_SZT-1500,ClassicGumtree,GT_BUM_SZT,1500,0.6557564672346388,858298,643.4373446052537,401.0,1346.4651041775744,450569,2564.0268393964075,1753.0,3936.6282975668437,79888093761.0,0.00000
ClassicGumtree-GT_BUM_SZT-1600,ClassicGumtree,GT_BUM_SZT,1600,0.6644356937332582,869644,655.7838011876124,408.0,1343.856726945103,439202,2589.2422962554815,1795.0,3982.814809920825,81653291569.0,0.00000
ClassicGumtree-GT_BUM_SZT-1700,ClassicGumtree,GT_BUM_SZT,1700,0.6717752293542932,879208,666.8844084676209,414.0,1341.5795440773206,429575,2609.7057277541758,1833.0,4024.232578159476,83194939783.0,0.00000
ClassicGumtree-GT_BUM_SZT-1800,ClassicGumtree,GT_BUM_SZT,1800,0.6792084049665712,888914,679.0803351055333,421.0,1340.2807237749155,419836,2628.869725321316,1872.0,4067.9480280726325,84812037838.5,0.00000
ClassicGumtree-GT_BUM_SZT-1900,ClassicGumtree,GT_BUM_SZT,1900,0.6860474089944596,897857,690.8722469168252,426.0,1339.0175450606198,410882,2645.560878792451,1910.0,4110.262683385568,86343110330.0,0.00000
ClassicGumtree-GT_BUM_SZT-2000,ClassicGumtree,GT_BUM_SZT,2000,0.6930232487059855,906972,704.0074853468465,432.0,1342.1156805255448,401746,2660.2904621327903,1793.0,4153.026250247789,87950745519.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.2,ClassicGumtree,GT_BUM_SMT,0.2,0.5616308730983076,1470754,649.1715772998068,348.0,1406.6690457029956,1147966,2143.897935130483,1221.0,3603.498472036359,366608076335.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.3,ClassicGumtree,GT_BUM_SMT,0.3,0.5588546626942456,1463485,645.1856390738545,347.0,1402.1523023947602,1155237,2139.540083982767,1219.0,3595.9589189730755,366965523109.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.4,ClassicGumtree,GT_BUM_SMT,0.4,0.5553417107053406,1454285,638.779077691099,346.0,1389.8847300406287,1164436,2135.735362870952,1216.0,3588.974909262921,366639452726.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.5,ClassicGumtree,GT_BUM_SMT,0.5,0.5514388316132831,1444065,632.4116102807006,344.0,1375.281170365932,1174657,2130.5375322328136,1209.0,3582.05230377399,366238108083.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.6,ClassicGumtree,GT_BUM_SMT,0.6,0.5463254772081486,1430674,624.0479130815266,341.0,1370.3033230761384,1188047,2123.726202751238,1204.0,3566.405515488621,363992079252.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.7,ClassicGumtree,GT_BUM_SMT,0.7,0.5400800313740705,1414320,608.3988043724192,337.0,1338.025516710306,1204403,2121.738853191166,1204.0,3556.6559412291504,358810444152.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.8,ClassicGumtree,GT_BUM_SMT,0.8,0.5320379436847654,1393260,582.5395331811723,332.0,1288.9582679096075,1225463,2125.128005496698,1211.0,3543.914496081328,349840987547.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.9,ClassicGumtree,GT_BUM_SMT,0.9,0.5179682986278573,1356430,534.0294501006318,322.0,1178.007901477198,1262321,2132.2269533660615,1220.0,3527.2175178132925,331282772042.0,0.00000
ClassicGumtree-GT_BUM_SMT-1,ClassicGumtree,GT_BUM_SMT,1,0.49245709194449716,1290047,415.09176797434515,303.0,415.76074449675684,1329566,2168.3501541104392,1254.0,3580.4795661767776,284182611121.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.1,CompleteGumtreeMatcher,GT_BUM_SMT,0.1,0.4306451796984672,1131981,398.12319464726,288.0,351.9913289868297,1496589,2006.2696785824298,1096.0,3429.253422777097,309420042738.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-100,CompleteGumtreeMatcher,GT_BUM_SZT,100,0.07469916129816458,98328,60.64819786835896,62.0,53.99231463241044,1217992,1413.5219393887644,653.0,2798.396653182324,736787738.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-1,CompleteGumtreeMatcher,GT_STM_MH,1,0.36037751665066375,1891636,385.1858169330675,273.0,347.3412135175273,3357404,1838.828818932723,957.0,3275.5196910134478,1290174165272.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-2,CompleteGumtreeMatcher,GT_STM_MH,2,0.4373708205240466,2297662,395.9869850308705,285.0,348.5948449447295,2955688,2028.1787428172393,1114.0,3445.424080119144,1198375954818.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-3,CompleteGumtreeMatcher,GT_STM_MH,3,0.45660159577704756,2401213,400.740452846124,291.0,350.12933711883545,2857667,2080.3760462643127,1165.0,3491.632766751156,1176831265855.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-4,CompleteGumtreeMatcher,GT_STM_MH,4,0.4669248519315426,2456529,404.05396028298463,295.0,351.42908181152177,2804551,2109.385662446502,1190.0,3517.73092878848,1167513366004.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-5,CompleteGumtreeMatcher,GT_STM_MH,5,0.4720790994178424,2484718,406.6432025686617,297.0,352.81833856340035,2778633,2123.105566298248,1204.0,3531.0051473707913,1169008476234.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-200,CompleteGumtreeMatcher,GT_BUM_SZT,200,0.1649860540055784,217087,109.9304380271504,109.0,62.183626153082585,1098703,1550.6282871713283,755.0,2913.625786824043,4837851435.5,0.00000
