config,algo,property,value,percentage_best,best_heightPerConfiguration_len,best_heightPerConfiguration_mean,best_heightPerConfiguration_median,best_heightPerConfiguration_stdev,notbest_heightPerConfiguration_len,notbest_heightPerConfiguration_mean,notbest_heightPerConfiguration_median,notbest_heightPerConfiguration_stdev,heightPerConfiguration_Mann-Whitney_U_stat,heightPerConfiguration_Mann-Whitney_U_p
ClassicGumtree-GT_BUM_SMT-0.1,ClassicGumtree,GT_BUM_SMT,0.1,0.5632429443556182,1474975,11.729269309649316,11.0,6.298265562801898,1143744,16.622346434167085,15.0,11.454058619298653,475830637358.5,0.00000
ClassicGumtree-GT_BUM_SZT-100,ClassicGumtree,GT_BUM_SZT,100,0.14257476933776547,186963,9.558340420297064,8.0,6.64047226471007,1124370,14.57905849497941,13.0,9.420752153114178,48594549471.0,0.00000
ClassicGumtree-GT_STM_MH-1,ClassicGumtree,GT_STM_MH,1,0.7488732129997089,3909897,13.073617028786181,12.0,8.289220088077307,1311143,16.240209496599533,14.0,11.350156803549007,1831073242287.5,0.00000
ClassicGumtree-GT_STM_MH-2,ClassicGumtree,GT_STM_MH,2,0.5042482041521824,2639876,11.055863229939588,10.0,4.939388895809707,2595395,16.732276589883234,15.0,11.468107893746149,1695998143194.0,0.00000
ClassicGumtree-GT_STM_MH-3,ClassicGumtree,GT_STM_MH,3,0.48972623190111786,2566926,10.99892244653722,10.0,4.928575749103353,2674627,16.616685990233403,15.0,11.34790773910953,1704663705235.5,0.00000
ClassicGumtree-GT_STM_MH-4,ClassicGumtree,GT_STM_MH,4,0.48472417820790925,2541833,10.9822923063789,10.0,4.932046556743075,2702042,16.57693773819948,15.0,11.305263013617534,1707190281481.0,0.00000
ClassicGumtree-GT_STM_MH-5,ClassicGumtree,GT_STM_MH,5,0.4829530595860473,2533763,10.978743473639799,10.0,4.939809284457354,2712633,16.556751318737184,15.0,11.289258588569853,1710797479050.5,0.00000
ClassicGumtree-GT_BUM_SZT-200,ClassicGumtree,GT_BUM_SZT,200,0.2543359701647409,333349,9.951519278593906,9.0,6.096648183054774,977315,15.20044612023759,13.0,9.744832387128278,73110047660.0,0.00000
ClassicGumtree-GT_BUM_SZT-300,ClassicGumtree,GT_BUM_SZT,300,0.33502468720257245,438947,10.278801313142589,9.0,5.929376324494743,871246,15.67406220516364,14.0,10.055481234017467,85573249303.5,0.00000
ClassicGumtree-GT_BUM_SZT-400,ClassicGumtree,GT_BUM_SZT,400,0.39772548588561635,521053,10.552728801100848,10.0,5.8336062176004795,789029,16.055106973254468,14.0,10.365769463664046,92436392195.0,0.00000
ClassicGumtree-GT_BUM_SZT-500,ClassicGumtree,GT_BUM_SZT,500,0.4454464182786086,583472,10.766924548221679,10.0,5.767509539757083,726387,16.35741003074119,14.0,10.656341551679066,96429157610.0,0.00000
ClassicGumtree-GT_BUM_SZT-600,ClassicGumtree,GT_BUM_SZT,600,0.4854642085195306,635845,10.973613066077425,10.0,5.768706329006795,673922,16.59748012381255,15.0,10.929316955881418,99363784301.0,0.00000
ClassicGumtree-GT_BUM_SZT-700,ClassicGumtree,GT_BUM_SZT,700,0.517883325391298,678162,11.154386415045373,10.0,5.879172777137873,631326,16.781965260420133,15.0,11.130229865972275,100867129530.0,0.00000
ClassicGumtree-GT_BUM_SZT-800,ClassicGumtree,GT_BUM_SZT,800,0.5453637331467839,714096,11.306614236741279,10.0,5.909894394057206,595298,16.939411857590652,15.0,11.35520162504353,102270370296.0,0.00000
ClassicGumtree-GT_BUM_SZT-900,ClassicGumtree,GT_BUM_SZT,900,0.5686342951503829,744489,11.420450805854754,11.0,5.90938356579572,564769,17.093135423509434,15.0,11.574785032288558,102499481174.0,0.00000
