config,algo,property,value,percentage_best,best_heightPerConfiguration_len,best_heightPerConfiguration_mean,best_heightPerConfiguration_median,best_heightPerConfiguration_stdev,notbest_heightPerConfiguration_len,notbest_heightPerConfiguration_mean,notbest_heightPerConfiguration_median,notbest_heightPerConfiguration_stdev,heightPerConfiguration_Mann-Whitney_U_stat,heightPerConfiguration_Mann-Whitney_U_p
ClassicGumtree-GT_BUM_SZT-1000,ClassicGumtree,GT_BUM_SZT,1000,0.588746513169754,770794,11.540396007234099,11.0,5.950921767289457,538418,17.198290176034234,15.0,11.766984901814844,103277070228.5,0.00000
ClassicGumtree-GT_BUM_SZT-1100,ClassicGumtree,GT_BUM_SZT,1100,0.6064345072181581,793901,11.6512109192456,11.0,6.0384205610722725,515228,17.28191402641161,15.0,11.914556474090276,103808999933.0,0.00000
ClassicGumtree-GT_BUM_SZT-1200,ClassicGumtree,GT_BUM_SZT,1200,0.6218194929522378,814004,11.755750585992207,11.0,6.077963529956419,495064,17.33757453581759,15.0,12.086381026543512,104595091789.5,0.00000
ClassicGumtree-GT_BUM_SZT-1300,ClassicGumtree,GT_BUM_SZT,1300,0.6349580794866408,831176,11.837758789955437,11.0,6.116885426166799,477849,17.395269216844653,15.0,12.232917632253885,104842284973.0,0.00000
ClassicGumtree-GT_BUM_SZT-1400,ClassicGumtree,GT_BUM_SZT,1400,0.6456660249358269,845151,11.907056845463119,11.0,6.153887660654923,463809,17.43614505108784,15.0,12.356307489024347,105079529040.0,0.00000
ClassicGumtree-GT_BUM_SZT-1500,ClassicGumtree,GT_BUM_SZT,1500,0.6557564672346388,858298,11.972331288200602,11.0,6.201995589519176,450569,17.47381200215727,15.0,12.465857496569008,104927839640.5,0.00000
ClassicGumtree-GT_BUM_SZT-1600,ClassicGumtree,GT_BUM_SZT,1600,0.6644356937332582,869644,12.024733109180309,11.0,6.216879407074059,439202,17.51214247658253,15.0,12.586208853539494,104811662994.0,0.00000
ClassicGumtree-GT_BUM_SZT-1700,ClassicGumtree,GT_BUM_SZT,1700,0.6717752293542932,879208,12.073813022629457,11.0,6.250584255461952,429575,17.53444450910784,15.0,12.675412551731146,104883880233.5,0.00000
ClassicGumtree-GT_BUM_SZT-1800,ClassicGumtree,GT_BUM_SZT,1800,0.6792084049665712,888914,12.121767685062897,11.0,6.262828108186797,419836,17.558894425442315,15.0,12.789416727008193,104973647141.5,0.00000
ClassicGumtree-GT_BUM_SZT-1900,ClassicGumtree,GT_BUM_SZT,1900,0.6860474089944596,897857,12.173042032305812,11.0,6.2997377594842074,410882,17.565125753866074,15.0,12.87772480884441,105087575511.5,0.00000
ClassicGumtree-GT_BUM_SZT-2000,ClassicGumtree,GT_BUM_SZT,2000,0.6930232487059855,906972,12.219888816854324,11.0,6.315043241599865,401746,17.58188756079712,15.0,12.990207818485594,105079601727.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.2,ClassicGumtree,GT_BUM_SMT,0.2,0.5616308730983076,1470754,11.718801376708818,11.0,6.289063861877879,1147966,16.617763069637952,15.0,11.443943176889373,475596207275.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.3,ClassicGumtree,GT_BUM_SMT,0.3,0.5588546626942456,1463485,11.705596572564803,11.0,6.272728341865376,1155237,16.603659681952706,15.0,11.429571199514644,476128323383.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.4,ClassicGumtree,GT_BUM_SMT,0.4,0.5553417107053406,1454285,11.686427350897521,11.0,6.267432120282607,1164436,16.58890484320306,15.0,11.399615823137745,475886687512.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.5,ClassicGumtree,GT_BUM_SMT,0.5,0.5514388316132831,1444065,11.667776035012274,11.0,6.26779236440154,1174657,16.569172958574292,15.0,11.36398888162649,475926502276.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.6,ClassicGumtree,GT_BUM_SMT,0.6,0.5463254772081486,1430674,11.639592248129203,11.0,6.363770022648776,1188047,16.54789583240394,15.0,11.2518726665863,475276493397.0,0.00000
ClassicGumtree-GT_BUM_SMT-0.7,ClassicGumtree,GT_BUM_SMT,0.7,0.5400800313740705,1414320,11.594880932179422,11.0,6.280985367385356,1204403,16.533798072572054,14.0,11.246158796481376,472821369699.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.8,ClassicGumtree,GT_BUM_SMT,0.8,0.5320379436847654,1393260,11.520538880036748,11.0,6.055227214066706,1225463,16.533365756452866,14.0,11.301422407918105,467667047605.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.9,ClassicGumtree,GT_BUM_SMT,0.9,0.5179682986278573,1356430,11.373618247900739,10.0,5.796393988141856,1262321,16.54492003222635,15.0,11.290976494756345,455713479757.5,0.00000
ClassicGumtree-GT_BUM_SMT-1,ClassicGumtree,GT_BUM_SMT,1,0.49245709194449716,1290047,11.02867802490917,10.0,4.990115622940772,1329566,16.621318535522118,15.0,11.35491351415034,426400241118.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.1,CompleteGumtreeMatcher,GT_BUM_SMT,0.1,0.4306451796984672,1131981,10.785166888843541,10.0,5.244092957375686,1496589,16.39148423515073,14.0,11.23814580176659,420106630587.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-100,CompleteGumtreeMatcher,GT_BUM_SZT,100,0.07469916129816458,98328,6.788330892522985,6.0,2.4496839025913446,1217992,14.551940406833543,13.0,9.682809912625231,10076759648.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-1,CompleteGumtreeMatcher,GT_STM_MH,1,0.36037751665066375,1891636,10.758731595296346,10.0,5.383434933806241,3357404,15.798288201241197,14.0,10.847057487928115,1725982122457.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-2,CompleteGumtreeMatcher,GT_STM_MH,2,0.4373708205240466,2297662,10.860768032896049,10.0,5.309263478098401,2955688,16.404619161427053,14.0,11.281407971727893,1713796220133.0,0.00000
CompleteGumtreeMatcher-GT_STM_MH-3,CompleteGumtreeMatcher,GT_STM_MH,3,0.45660159577704756,2401213,10.882649310994069,10.0,5.286089679826199,2857667,16.57429679525291,14.0,11.401448075329448,1690814637230.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-4,CompleteGumtreeMatcher,GT_STM_MH,4,0.4669248519315426,2456529,10.884823260787885,10.0,5.246278621102543,2804551,16.6817847134889,15.0,11.474824798699947,1668968082119.5,0.00000
CompleteGumtreeMatcher-GT_STM_MH-5,CompleteGumtreeMatcher,GT_STM_MH,5,0.4720790994178424,2484718,10.90531360098007,10.0,5.246523735058312,2778633,16.71657897966374,15.0,11.513236097715671,1672609203380.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-200,CompleteGumtreeMatcher,GT_BUM_SZT,200,0.1649860540055784,217087,8.004730822204923,8.0,2.7974224000112367,1098703,15.154411155699037,13.0,9.972832985890474,29541458945.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-300,CompleteGumtreeMatcher,GT_BUM_SZT,300,0.2386500828683078,313906,8.739820200951877,8.0,3.1297377563582645,1001434,15.618251427453032,14.0,10.280435160018513,46839163997.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-400,CompleteGumtreeMatcher,GT_BUM_SZT,400,0.29783916121134707,391727,9.270632353654458,9.0,3.484283080114994,923503,15.973540963050471,14.0,10.566166555321908,60468698430.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-500,CompleteGumtreeMatcher,GT_BUM_SZT,500,0.3430762678996479,451135,9.63601582674809,9.0,3.645625716554584,863835,16.245030590332643,14.0,10.827559922057713,70412845832.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-600,CompleteGumtreeMatcher,GT_BUM_SZT,600,0.38154832527151594,501675,9.972342652115413,9.0,3.9169691504211426,813165,16.449263064691667,14.0,11.061548443885792,79193215427.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-700,CompleteGumtreeMatcher,GT_BUM_SZT,700,0.4121703869387258,541765,10.238498241857632,10.0,4.246216202598282,772655,16.60072089095392,15.0,11.236076374048862,85492503937.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-800,CompleteGumtreeMatcher,GT_BUM_SZT,800,0.43925832369590356,577326,10.468587938183973,10.0,4.4314082433464455,736994,16.727696561980153,15.0,11.423939256534075,91277208337.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-900,CompleteGumtreeMatcher,GT_BUM_SZT,900,0.46197618232317467,607106,10.659957239757142,10.0,5.202320980790383,707044,16.827688234395595,15.0,11.36616394497552,95353113402.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1000,CompleteGumtreeMatcher,GT_BUM_SZT,1000,0.48197293924266404,633351,10.830935768633822,10.0,5.277985534339732,680729,16.90622259371938,15.0,11.526545675215742,99572822944.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1100,CompleteGumtreeMatcher,GT_BUM_SZT,1100,0.49911793357484247,655821,10.976582024668316,10.0,5.38775392239507,658139,16.969237501500444,15.0,11.652394889063151,102970933374.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1200,CompleteGumtreeMatcher,GT_BUM_SZT,1200,0.5142644036836898,675692,11.121545023472233,10.0,5.4838190170028644,638208,17.001997781287606,15.0,11.777228367004495,106430706883.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1300,CompleteGumtreeMatcher,GT_BUM_SZT,1300,0.5269121575850757,692273,11.227758413227152,11.0,5.554036395057138,621557,17.0402489232685,15.0,11.882925321531319,108787902860.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1400,CompleteGumtreeMatcher,GT_BUM_SZT,1400,0.5377477696921719,706450,11.322567768419562,11.0,5.627242509454467,607270,17.065493108501983,15.0,11.972120619959199,110828204470.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1500,CompleteGumtreeMatcher,GT_BUM_SZT,1500,0.5475292725873382,719235,11.408531286714355,11.0,5.6960232079056246,594366,17.08553652126804,15.0,12.05377912451615,112476367983.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1600,CompleteGumtreeMatcher,GT_BUM_SZT,1600,0.5564607361729664,730939,11.481832273281354,11.0,5.730278058998494,582611,17.107643007083627,15.0,12.143770613700312,113921997414.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1700,CompleteGumtreeMatcher,GT_BUM_SZT,1700,0.5638453866475823,740594,11.548677142942017,11.0,5.797502764271454,572876,17.11652958057241,15.0,12.2005245813747,115279712747.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1800,CompleteGumtreeMatcher,GT_BUM_SZT,1800,0.5711000966933906,750100,11.60998133582189,11.0,5.822706516450027,563330,17.12907709513074,15.0,12.279961081080494,116649519430.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-1900,CompleteGumtreeMatcher,GT_BUM_SZT,1900,0.5779764125444454,759120,11.67595110127516,11.0,5.885241906108446,554290,17.128438182179003,15.0,12.336844020047943,117902007015.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-2000,CompleteGumtreeMatcher,GT_BUM_SZT,2000,0.584852707157922,768128,11.733468901016497,11.0,5.910704907329843,545242,17.137718664372883,15.0,12.414294295941323,118999432973.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.2,CompleteGumtreeMatcher,GT_BUM_SMT,0.2,0.43286996351628454,1137829,10.801589694057718,10.0,5.243157637166577,1490741,16.400942215985204,14.0,11.256461517139853,422239077521.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.3,CompleteGumtreeMatcher,GT_BUM_SMT,0.3,0.43488550808995,1143127,10.816910107100961,10.0,5.247096948937466,1485443,16.409123069683588,14.0,11.271643840151112,424030817679.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.4,CompleteGumtreeMatcher,GT_BUM_SMT,0.4,0.43713425931209743,1149038,10.835100318701384,10.0,5.250126576973894,1479532,16.41733805014018,14.0,11.28962289696222,426290015771.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.5,CompleteGumtreeMatcher,GT_BUM_SMT,0.5,0.4392171408788809,1154513,10.852821925781694,10.0,5.255059412116213,1474057,16.424191873177225,14.0,11.3059696181558,428506451936.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.6,CompleteGumtreeMatcher,GT_BUM_SMT,0.6,0.4405030111429408,1157893,10.866390072312381,10.0,5.261202966835982,1470677,16.426313867694947,14.0,11.316003443652496,430254604020.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.7,CompleteGumtreeMatcher,GT_BUM_SMT,0.7,0.4416835009149461,1160996,10.883213206591583,10.0,5.275524160595844,1467574,16.42476086384741,14.0,11.323744334276162,432239929697.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.8,CompleteGumtreeMatcher,GT_BUM_SMT,0.8,0.44286382220605797,1164099,10.908811879402009,10.0,5.319137421252267,1464472,16.416147935911372,14.0,11.323976677474617,434786411191.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.9,CompleteGumtreeMatcher,GT_BUM_SMT,0.9,0.44354801279783307,1165897,10.934122825601232,10.0,5.3859409057353025,1462673,16.40274893978353,14.0,11.312362313193137,436894592178.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-1,CompleteGumtreeMatcher,GT_BUM_SMT,1,0.44373366507264406,1166385,10.94392846272886,10.0,5.409545182150072,1462185,16.396752120969644,14.0,11.308172117934737,437538182864.0,0.00000
XyMatcher-GT_STM_MH-1,XyMatcher,GT_STM_MH,1,0.29518295402151157,39053,13.378664891301565,12.0,9.621035924699113,93248,14.339406743308167,13.0,10.032751238742062,1634165459.5,0.00000
XyMatcher-GT_XYM_SIM-0.2,XyMatcher,GT_XYM_SIM,0.2,0.0907614823723972,12074,13.598144773894319,12.0,9.601908849863205,120956,14.074721386289228,12.0,9.942333280243616,694610638.5,0.00000
XyMatcher-GT_STM_MH-2,XyMatcher,GT_STM_MH,2,0.0007072987208427389,94,6.861702127659575,6.0,5.809893423096276,132806,14.057158562113157,12.0,9.909270691681352,2191017.0,0.00000
XyMatcher-GT_STM_MH-3,XyMatcher,GT_STM_MH,3,0.00015048908954100828,20,1,0.0,1.7770466332772772,132880,14.05403371462974,12.0,9.908233449457338,5825.0,0.00000
XyMatcher-GT_STM_MH-4,XyMatcher,GT_STM_MH,4,0.00015034767900770532,20,1,0.0,1.7770466332772772,133005,14.043644975752791,12.0,9.90936704984378,6450.0,0.00000
XyMatcher-GT_STM_MH-5,XyMatcher,GT_STM_MH,5,0.0001490757304710793,20,1,0.0,1.7770466332772772,134140,13.958662591322499,12.0,9.910146486935364,9287.5,0.00000
XyMatcher-GT_XYM_SIM-0.4,XyMatcher,GT_XYM_SIM,0.4,0.08092850538596268,10766,13.536225153260263,12.0,9.750150342143508,122265,14.075025559236085,12.0,9.925855796046982,621622242.5,0.00000
XyMatcher-GT_XYM_SIM-0.6,XyMatcher,GT_XYM_SIM,0.6,0.06300550227006224,8382,13.523144834168455,12.0,9.792422660939295,124654,14.065581529674137,12.0,9.919793736481665,491623462.0,0.00000
XyMatcher-GT_XYM_SIM-0.8,XyMatcher,GT_XYM_SIM,0.8,0.043182501503307276,5745,13.208181026979982,12.0,9.598385639017716,127295,14.068753682391296,12.0,9.925117634525439,331283682.0,0.00000
XyMatcher-GT_XYM_SIM-1,XyMatcher,GT_XYM_SIM,1,0.016823258154398456,2240,10.729910714285714,9.0,8.050077631946632,130909,14.088168116783415,12.0,9.92943383762223,93951191.0,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.1,SimpleGumtree,GT_BUM_SMT_SBUP,0.1,0.456686291000841,60816,13.89127861089187,12.0,10.420810589158517,72352,14.206476669615215,13.0,9.670105784086411,2087711729.0,0.00000
SimpleGumtree-GT_STM_MH-1,SimpleGumtree,GT_STM_MH,1,0.696272028920018,92451,13.852949129809305,12.0,10.228443064421752,40329,14.549976443750156,13.0,9.538954684807674,1697877089.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.3,SimpleGumtree,GT_BUM_SMT_SBUP,0.3,0.4566787816892947,60815,13.891441256269012,12.0,10.420819074055622,72353,14.206335604605199,13.0,9.67011340200494,2087771359.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.5,SimpleGumtree,GT_BUM_SMT_SBUP,0.5,0.4566787816892947,60815,13.891441256269012,12.0,10.420819074055622,72353,14.206335604605199,13.0,9.67011340200494,2087771359.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.7,SimpleGumtree,GT_BUM_SMT_SBUP,0.7,0.4566787816892947,60815,13.891441256269012,12.0,10.420819074055622,72353,14.206335604605199,13.0,9.67011340200494,2087771359.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.9,SimpleGumtree,GT_BUM_SMT_SBUP,0.9,0.4566787816892947,60815,13.891441256269012,12.0,10.420819074055622,72353,14.206335604605199,13.0,9.67011340200494,2087771359.5,0.00000
SimpleGumtree-GT_STM_MH-2,SimpleGumtree,GT_STM_MH,2,0.5396127091558564,71755,13.69165911783151,12.0,10.252887735415978,61220,14.50187847108788,13.0,9.735366103761743,1982520962.5,0.00000
SimpleGumtree-GT_STM_MH-3,SimpleGumtree,GT_STM_MH,3,0.4208946262383669,56080,13.876069900142653,12.0,10.717862054442744,77160,14.196474857439087,13.0,9.479091677739781,2034318950.0,0.00000
SimpleGumtree-GT_STM_MH-4,SimpleGumtree,GT_STM_MH,4,0.34314313563769966,45765,13.942641756801049,12.0,10.29139558378983,87605,14.122709890987958,12.0,9.8692775790727,1930592937.5,0.00000
SimpleGumtree-GT_STM_MH-5,SimpleGumtree,GT_STM_MH,5,0.28488480988949244,38025,14.322813938198554,12.0,10.885780746568235,95450,13.956416972236774,12.0,9.642288161438595,1792447812.5,0.00022
