config,best_time_avg,best_time_median,notbest_time_avg,notbest_time_median,Mann-Whitney_U_stat,Mann-Whitney_U_p
ClassicGumtree_0.1_100_1,11.959773411730962,11.0,16.056433778360226,14.0,50404912.5,0.0
ClassicGumtree_0.1_100_2,7.091738931994523,7.0,14.483401281304602,13.0,5224355.5,0.0
ClassicGumtree_0.1_100_3,6.84144578313253,6.0,14.46730132450331,13.0,4302452.0,0.0
ClassicGumtree_0.1_100_4,6.873540856031128,6.0,14.458519437551695,13.0,4277313.0,0.0
ClassicGumtree_0.1_100_5,6.86865234375,6.0,14.44045407636739,13.0,4320883.0,0.0
ClassicGumtree_0.1_200_1,12.630180716372687,11.0,16.876079560324523,15.0,43885373.0,0.0
ClassicGumtree_0.1_200_2,8.29100962523039,8.0,15.144450693663291,13.0,13920796.0,0.0
ClassicGumtree_0.1_200_3,8.143497757847534,8.0,15.10817709300167,13.0,12760670.0,0.0
ClassicGumtree_0.1_200_4,8.112335277597753,8.0,15.097065358266988,13.0,12490869.5,0.0
ClassicGumtree_0.1_200_5,8.10494362532524,8.0,15.083641404805915,13.0,12501753.5,0.0
ClassicGumtree_0.1_300_1,12.974362766849085,12.0,16.987128882787026,15.0,39006384.0,0.0
ClassicGumtree_0.1_300_2,8.99633079311318,9.0,15.675992260628563,14.0,20880712.5,0.0
ClassicGumtree_0.1_300_3,8.864781716964547,8.0,15.625734611815652,14.0,19807308.0,0.0
ClassicGumtree_0.1_300_4,8.841761827079935,8.0,15.60359250705671,14.0,19561125.0,0.0
ClassicGumtree_0.1_300_5,8.849331352154532,8.0,15.58990261404408,14.0,19609307.0,0.0
ClassicGumtree_0.1_400_1,13.176711362032464,12.0,16.904742268041236,15.0,35711978.0,2.7767523354243884e-246
ClassicGumtree_0.1_400_2,9.49477234401349,9.0,16.118595112933974,14.0,25703990.0,0.0
ClassicGumtree_0.1_400_3,9.390346274921301,9.0,16.041482488949338,14.0,24856754.0,0.0
ClassicGumtree_0.1_400_4,9.366150573218295,9.0,16.007710924748128,14.0,24728718.0,0.0
ClassicGumtree_0.1_400_5,9.367404950846856,9.0,15.994942115319772,14.0,24759184.0,0.0
ClassicGumtree_0.1_500_1,13.297237771863816,12.0,16.763872765265845,15.0,33848906.5,2.1988137904248784e-185
ClassicGumtree_0.1_500_2,9.86046511627907,9.0,16.477642020405593,15.0,29097794.5,0.0
ClassicGumtree_0.1_500_3,9.77035175879397,9.0,16.371051014136448,14.0,28538154.0,0.0
ClassicGumtree_0.1_500_4,9.764418675617943,9.0,16.323981458892412,14.0,28597387.0,0.0
ClassicGumtree_0.1_500_5,9.748162515312373,9.0,16.31662204916038,14.0,28473663.5,0.0
ClassicGumtree_0.1_600_1,13.38048780487805,12.0,16.601363292097954,14.0,32568295.0,5.967358308218484e-148
ClassicGumtree_0.1_600_2,10.196606354428187,10.0,16.769855903844842,15.0,31736204.5,0.0
ClassicGumtree_0.1_600_3,10.105523125280646,10.0,16.643084471555497,15.0,31420077.5,0.0
ClassicGumtree_0.1_600_4,10.088336972343523,10.0,16.59095385019366,15.0,31589117.5,0.0
ClassicGumtree_0.1_600_5,10.08070560277854,10.0,16.57053168530508,15.0,31555396.0,0.0
ClassicGumtree_0.1_700_1,13.435806884219938,12.0,16.46809651474531,14.0,31671801.5,8.851373801838365e-124
ClassicGumtree_0.1_700_2,10.46826662414288,10.0,17.000513083632633,15.0,33331028.0,0.0
ClassicGumtree_0.1_700_3,10.384857001157217,10.0,16.851969954648528,15.0,33453499.5,0.0
ClassicGumtree_0.1_700_4,10.375136131356287,10.0,16.78329365635065,15.0,33697608.0,0.0
ClassicGumtree_0.1_700_5,10.36621496507028,10.0,16.759687761360468,15.0,33706737.0,0.0
ClassicGumtree_0.1_800_1,13.47553564299339,12.0,16.361361079865016,14.0,31019407.0,3.8417337419568566e-105
ClassicGumtree_0.1_800_2,10.693623058542414,10.0,17.19901470128245,15.0,34701438.0,0.0
ClassicGumtree_0.1_800_3,10.61220700858668,10.0,17.03433217888872,15.0,35105836.5,0.0
ClassicGumtree_0.1_800_4,10.599371809972517,10.0,16.95075645209137,15.0,35461217.0,0.0
ClassicGumtree_0.1_800_5,10.595885552139986,10.0,16.92695716395864,15.0,35523114.0,0.0
ClassicGumtree_0.1_900_1,13.504878371815813,12.0,16.259065854366117,14.0,30598225.5,6.659293939152111e-94
ClassicGumtree_0.1_900_2,10.861138648916585,10.0,17.398440092930635,15.0,35334147.0,0.0
ClassicGumtree_0.1_900_3,10.786222580881814,10.0,17.206298711627166,15.0,36062974.0,0.0
ClassicGumtree_0.1_900_4,10.772358328989501,10.0,17.114013137316235,15.0,36542361.5,0.0
ClassicGumtree_0.1_900_5,10.765766439739657,10.0,17.08514774494557,15.0,36620841.0,0.0
ClassicGumtree_0.1_1000_1,13.530296367953566,12.0,16.15946348733234,14.0,30134367.0,7.991203283204669e-87
ClassicGumtree_0.1_1000_2,11.026435301294653,10.0,17.545844644890096,15.0,36107877.0,0.0
ClassicGumtree_0.1_1000_3,10.955563355563356,10.0,17.333556317417845,15.0,37136546.0,0.0
ClassicGumtree_0.1_1000_4,10.944060428988813,10.0,17.230630334865396,15.0,37722542.0,0.0
ClassicGumtree_0.1_1000_5,10.934231265224245,10.0,17.197897139131143,15.0,37802313.5,0.0
ClassicGumtree_0.1_1100_1,13.55592552026287,12.0,16.048012232415903,14.0,29721828.0,6.4039657518910745e-80
ClassicGumtree_0.1_1100_2,11.185884042831026,11.0,17.661935483870966,15.0,36740713.5,0.0
ClassicGumtree_0.1_1100_3,11.11421611746397,10.0,17.426645658263304,15.0,38007860.0,0.0
ClassicGumtree_0.1_1100_4,11.092077234934377,10.0,17.326217421124827,15.0,38633140.0,0.0
ClassicGumtree_0.1_1100_5,11.081536760641239,10.0,17.29042960442365,15.0,38748702.0,0.0
ClassicGumtree_0.1_1200_1,13.569393462681349,12.0,15.990342679127727,14.0,29499954.0,1.0606974622494483e-73
ClassicGumtree_0.1_1200_2,11.327028907584287,11.0,17.7532831208961,15.0,37350773.5,0.0
ClassicGumtree_0.1_1200_3,11.260573077175268,11.0,17.49388127853881,15.0,38890159.5,0.0
ClassicGumtree_0.1_1200_4,11.238494838494839,11.0,17.386126238728686,15.0,39588057.0,0.0
ClassicGumtree_0.1_1200_5,11.229790369030875,11.0,17.346759915014164,15.0,39757427.0,0.0
