config,best_time_avg,best_time_median,notbest_time_avg,notbest_time_median,Mann-Whitney_U_stat,Mann-Whitney_U_p
ClassicGumtree_0.1_100_1,12.481571776853578,7.0,20.29379965599148,10.0,69776660.0,6.846562175109644e-141
ClassicGumtree_0.1_100_2,13.090826106800547,8.0,14.034445461352858,7.0,25997017.0,0.16017895697466988
ClassicGumtree_0.1_100_3,10.951807228915662,7.0,12.710720198675496,6.0,24990463.0,0.4095639367448046
ClassicGumtree_0.1_100_4,10.718385214007782,6.0,10.889867659222498,5.0,24394611.0,0.07952186494980279
ClassicGumtree_0.1_100_5,8.8125,4.0,8.56891640866873,3.0,23727184.5,0.00048442758977227675
ClassicGumtree_0.1_200_1,31.39925332756195,15.0,47.540827008636484,20.0,62382994.5,3.002846004376342e-50
ClassicGumtree_0.1_200_2,41.443784558672945,26.0,32.631749156355454,14.0,42339911.0,3.104933971593089e-93
ClassicGumtree_0.1_200_3,38.44010249839846,24.0,31.279979580471505,13.0,41140968.5,6.39530983021052e-88
ClassicGumtree_0.1_200_4,36.52214301144956,22.0,28.817256063691907,10.0,40024005.5,1.3400161808430709e-101
ClassicGumtree_0.1_200_5,31.81179531656548,17.5,24.74865988909427,7.0,38961858.5,3.8366332741728003e-122
ClassicGumtree_0.1_300_1,56.69245180693191,25.0,80.71477604256049,29.0,54710245.0,2.6402456212099593e-18
ClassicGumtree_0.1_300_2,74.02624894157493,46.0,55.01793651623699,19.0,50682713.5,1.6849010853377213e-216
ClassicGumtree_0.1_300_3,71.69645473190741,44.0,54.12315702649758,19.0,49960124.5,9.336809000780082e-201
ClassicGumtree_0.1_300_4,68.9537297938603,42.0,50.584449576597386,16.0,48845035.0,1.6307507090944211e-217
ClassicGumtree_0.1_300_5,63.22823179791976,37.0,46.02470527934393,11.0,47932433.5,1.2082611180093238e-240
ClassicGumtree_0.1_400_1,88.30816278522701,36.0,118.95835051546392,39.0,49169315.0,2.6695769758876764e-07
ClassicGumtree_0.1_400_2,116.52107925801012,69.0,81.27751140893074,25.0,55441502.0,1.270975223789601e-302
ClassicGumtree_0.1_400_3,112.51638101900431,67.0,80.62575087838604,24.0,55045651.5,3.662493898802298e-282
ClassicGumtree_0.1_400_4,110.16132844817398,64.0,77.127202116283,21.0,54194844.0,1.9862379110782608e-293
ClassicGumtree_0.1_400_5,105.72391330095938,58.0,71.8545015173654,16.0,53613554.0,9.789768512996637e-309
ClassicGumtree_0.1_500_1,125.4842158392218,49.0,160.7058277223125,52.0,45458038.0,0.0005467644645395156
ClassicGumtree_0.1_500_2,161.95843023255813,91.0,109.3524373346769,30.0,58107652.0,0.0
ClassicGumtree_0.1_500_3,157.2364824120603,88.0,109.14099569760295,30.0,58382130.0,0.0
ClassicGumtree_0.1_500_4,155.0920557420405,86.0,105.22109050988045,27.0,57616355.0,0.0
ClassicGumtree_0.1_500_5,147.29409963250305,78.0,100.21525918715015,21.0,57267571.0,0.0
ClassicGumtree_0.1_600_1,168.86007226738934,64.0,207.0156526129765,68.0,42594068.5,0.0020408288101449804
ClassicGumtree_0.1_600_2,214.41424984849797,115.0,139.55255070682236,37.0,59612684.5,0.0
ClassicGumtree_0.1_600_3,208.97988325101034,112.0,140.96631746452726,36.0,60387074.5,0.0
ClassicGumtree_0.1_600_4,206.0248362445415,108.0,136.9313989365194,33.0,59917862.5,0.0
ClassicGumtree_0.1_600_5,197.5200621515401,98.0,131.42319011183048,28.0,59812193.0,0.0
ClassicGumtree_0.1_700_1,215.54188645507375,78.5,261.42171581769435,84.5,40458453.5,0.0015307647291998914
ClassicGumtree_0.1_700_2,272.52790623505024,137.0,173.4501942388038,42.0,60725840.5,0.0
ClassicGumtree_0.1_700_3,267.17540089270955,133.0,175.27232142857142,43.0,61926470.5,0.0
ClassicGumtree_0.1_700_4,263.85624528776077,129.0,172.22440834617,40.0,61775211.5,0.0
ClassicGumtree_0.1_700_5,254.56342058749263,120.0,166.27529969333705,34.5,61788667.5,0.0
ClassicGumtree_0.1_800_1,267.27689304884,94.0,313.8343644544432,104.0,38645037.5,0.00029071020946768675
ClassicGumtree_0.1_800_2,331.08684289127837,160.0,209.67164529246168,49.0,61167136.5,0.0
ClassicGumtree_0.1_800_3,326.82896263634257,155.0,213.3806655624153,50.0,62727725.0,0.0
ClassicGumtree_0.1_800_4,320.30459363957596,150.0,211.30910708988432,47.0,62943310.0,1.173894674942459e-306
ClassicGumtree_0.1_800_5,313.04327264128636,143.0,204.8665435745938,41.0,62998898.5,7.599813987024112e-306
ClassicGumtree_0.1_900_1,321.63149529822084,110.0,368.53872932985206,123.0,37519927.5,0.00011372869955567164
ClassicGumtree_0.1_900_2,393.5684747202946,180.0,248.85031530036508,57.0,61579029.5,0.0
ClassicGumtree_0.1_900_3,386.9859878218766,176.0,255.04040082710355,59.0,63740086.0,2.061879476029906e-282
ClassicGumtree_0.1_900_4,381.5132921289746,172.0,253.28823897403817,56.0,64117971.0,2.0839679596824583e-276
