config,best_time_avg,best_time_median,notbest_time_avg,notbest_time_median,Mann-Whitney_U_stat,Mann-Whitney_U_p
ClassicGumtree_0.1_100_1,969.4396959701706,389.0,1688.7856499303791,828.0,55813756.5,0.0
ClassicGumtree_0.1_100_2,94.76403468735737,65.0,1414.3144188368417,655.0,1181738.0,0.0
ClassicGumtree_0.1_100_3,62.54313253012048,63.0,1410.4323261589404,653.0,303602.0,0.0
ClassicGumtree_0.1_100_4,62.9124513618677,63.0,1409.28635235732,652.0,327909.0,0.0
ClassicGumtree_0.1_100_5,62.04296875,62.5,1407.2471826625388,651.0,288624.5,0.0
ClassicGumtree_0.1_200_1,1061.2126934314467,453.0,1894.8730698769955,937.0,46762439.0,0.0
ClassicGumtree_0.1_200_2,134.8705713700594,115.0,1572.2206599175104,771.5,2618595.5,0.0
ClassicGumtree_0.1_200_3,113.47021140294683,112.0,1562.7347781696676,767.0,1707786.0,0.0
ClassicGumtree_0.1_200_4,113.08425145819831,112.0,1559.061747824477,764.0,1762216.5,0.0
ClassicGumtree_0.1_200_5,112.36253252385083,111.0,1557.133964879852,763.0,1722732.5,0.0
ClassicGumtree_0.1_300_1,1111.1599368929647,482.0,1973.3881928951432,962.0,40343154.0,1.3772605268963007e-299
ClassicGumtree_0.1_300_2,176.37877504939317,157.5,1723.1254510275585,886.0,4547379.5,0.0
ClassicGumtree_0.1_300_3,156.87371813653678,154.0,1708.0458294669554,878.0,3860833.5,0.0
ClassicGumtree_0.1_300_4,156.48554056058134,154.0,1701.257018219143,874.0,4036672.5,0.0
ClassicGumtree_0.1_300_5,156.14279346210995,153.5,1699.6852895950794,873.0,4036479.5,0.0
ClassicGumtree_0.1_400_1,1148.153328628558,499.0,1984.6880412371133,967.0,36325123.0,7.060437064038723e-227
ClassicGumtree_0.1_400_2,213.21281618887016,190.0,1866.014441684478,1003.0,6747468.0,0.0
ClassicGumtree_0.1_400_3,196.70350938556604,187.0,1842.6861044996033,986.0,6438743.0,0.0
ClassicGumtree_0.1_400_4,196.04065713272664,186.0,1831.793493555468,979.0,6720716.5,0.0
ClassicGumtree_0.1_400_5,196.04228354850173,186.0,1829.5769922445768,977.0,6768345.0,0.0
ClassicGumtree_0.1_500_1,1174.9564559052951,511.0,1954.469003947063,951.0,34435852.0,1.1156913553037315e-168
ClassicGumtree_0.1_500_2,246.69108527131783,220.0,1993.373157828442,1102.0,8905770.5,0.0
ClassicGumtree_0.1_500_3,231.68371859296482,217.0,1960.4567301782422,1080.5,8992649.0,0.0
ClassicGumtree_0.1_500_4,231.63228562709796,217.0,1947.2179190046352,1072.0,9457299.5,0.0
ClassicGumtree_0.1_500_5,231.0155165373622,216.0,1943.626794840594,1070.0,9476909.5,0.0
ClassicGumtree_0.1_600_1,1189.9527551942185,522.0,1938.7389548093915,936.0,33177579.0,3.9304412778427104e-132
ClassicGumtree_0.1_600_2,279.51874296597697,246.0,2114.7068223724646,1205.0,11152560.0,0.0
ClassicGumtree_0.1_600_3,265.8269420745397,241.0,2071.3589709587586,1175.0,11632920.5,0.0
ClassicGumtree_0.1_600_4,265.434133915575,241.0,2053.765180857349,1164.0,12205613.5,0.0
ClassicGumtree_0.1_600_5,264.5008682935746,240.0,2047.9088352625727,1159.0,12227239.0,0.0
ClassicGumtree_0.1_700_1,1204.0653106839518,529.0,1900.3954423592493,925.0,32403556.5,2.568250204857114e-106
ClassicGumtree_0.1_700_2,309.2834476160102,268.0,2221.609836546214,1300.0,13207426.5,0.0
ClassicGumtree_0.1_700_3,296.6010910894363,264.0,2168.887613378685,1266.0,14058221.0,0.0
ClassicGumtree_0.1_700_4,296.2622099354947,263.0,2146.9113569528076,1248.0,14747549.0,0.0
ClassicGumtree_0.1_700_5,295.28474034172206,262.0,2139.54342068581,1243.0,14803035.0,0.0
