config,algo,property,value,percentage_best,best_timesPerConfiguration_len,best_timesPerConfiguration_mean,best_timesPerConfiguration_median,best_timesPerConfiguration_stdev,notbest_timesPerConfiguration_len,notbest_timesPerConfiguration_mean,notbest_timesPerConfiguration_median,notbest_timesPerConfiguration_stdev,timesPerConfiguration_Mann-Whitney_U_stat,timesPerConfiguration_Mann-Whitney_U_p
ClassicGumtree-GT_BUM_SZT-1200,ClassicGumtree,GT_BUM_SZT,1200,0.6218194929522378,814004,494.3634699583786,171.0,752.198779123722,495064,330.21727695813064,41.0,802.585736246395,146545711289.5,0.00000
ClassicGumtree-GT_BUM_SZT-1300,ClassicGumtree,GT_BUM_SZT,1300,0.6349580794866408,831176,553.1686285455788,185.0,855.1144802208776,477849,378.0468139516877,48.0,891.7029832918696,147400483607.5,0.00000
ClassicGumtree-GT_BUM_SZT-1400,ClassicGumtree,GT_BUM_SZT,1400,0.6456660249358269,845151,612.132936007885,197.0,982.0674616860588,463809,427.85215250243095,56.0,982.1889609070067,148549528540.0,0.00000
ClassicGumtree-GT_BUM_SZT-1500,ClassicGumtree,GT_BUM_SZT,1500,0.6557564672346388,858298,672.479136616886,209.0,1093.2339585995796,450569,480.8885564697083,64.0,1073.38025523029,149229643925.5,0.00000
ClassicGumtree-GT_BUM_SZT-1600,ClassicGumtree,GT_BUM_SZT,1600,0.6644356937332582,869644,735.4199856493002,220.0,1217.7709906291373,439202,544.525648790306,73.0,1198.7423512278908,150342126648.5,0.00000
ClassicGumtree-GT_BUM_SZT-1700,ClassicGumtree,GT_BUM_SZT,1700,0.6717752293542932,879208,794.6990097906297,228.0,1341.624115712706,429575,609.8237746610022,81.0,1376.7007078492256,151210330164.0,0.00000
ClassicGumtree-GT_BUM_SZT-1800,ClassicGumtree,GT_BUM_SZT,1800,0.6792084049665712,888914,856.4782206152677,237.0,1461.1540133455155,419836,679.0899279718748,91.0,1506.5394329493524,152025896624.5,0.00000
ClassicGumtree-GT_BUM_SZT-1900,ClassicGumtree,GT_BUM_SZT,1900,0.6860474089944596,897857,920.726688102894,246.0,1592.5773260816432,410882,731.5808626320938,101.0,1585.5274497365692,152162876345.5,0.00000
ClassicGumtree-GT_BUM_SZT-2000,ClassicGumtree,GT_BUM_SZT,2000,0.6930232487059855,906972,996.896484125199,255.0,1766.6667591646042,401746,815.4256570071637,113.0,1817.510043605214,152784523235.5,0.00000
ClassicGumtree-GT_BUM_SMT-0.2,ClassicGumtree,GT_BUM_SMT,0.2,0.5616308730983076,1470754,566.677236301924,145.0,1099.459351771844,1147966,303.64699215830433,33.0,894.0730866127838,581194901588.5,0.00000
