top,configuration,nrBest,total,best_time_avg,best_time_median,notbest_time_avg,notbest_time_median,time_Mann-Whitney_U_stat,time_Mann-Whitney_U_p,best_size_avg,best_size_median,notbest_size_avg,notbest_size_median,size_Mann-Whitney_U_stat,size_Mann-Whitney_U_p,best_height_avg,best_height_median,notbest_height_avg,notbest_height_median,height_Mann-Whitney_U_stat,height_Mann-Whitney_U_p
28,ClassicGumtree_0.3_1400_1,22622,26093,632.8695075590133,189.0,688.0308268510515,220.0,37766013.0,0.00014916585257572772,1240.4571655910177,548.0,1713.121578795736,785.0,32879262.5,4.2059087174007146e-54,13.552736274423127,12.0,15.91673869201959,14.0,31588334.5,1.5029125031558432e-77
29,ClassicGumtree_0.2_1000_1,22605,26097,376.80327361203274,126.0,437.7116265750286,141.5,38042035.0,0.00028826325588920346,1230.582304799823,541.0,1775.5028636884308,874.0,32079455.0,1.9567471740252707e-71,13.511479761114797,12.0,16.178121420389463,14.0,30996491.5,1.4074940941371987e-93
30,ClassicGumtree_0.3_1300_1,22575,26093,568.7883056478405,175.0,626.0830017055144,196.0,38524334.0,0.002173827951676395,1237.243942414175,546.0,1727.4260943718023,802.5,32969988.5,1.8986158137696812e-59,13.540952380952382,12.0,15.960773166571915,14.0,31773642.0,6.609495384427394e-82
31,ClassicGumtree_0.1_800_1,22543,26099,267.27689304884,94.0,313.8343644544432,104.0,38645037.5,0.00029071020946768675,1214.1160892516525,536.0,1870.8706411698538,907.0,31902260.5,9.750812608028609e-86,13.47553564299339,12.0,16.361361079865016,14.0,31019407.0,3.8417337419568566e-105
32,ClassicGumtree_0.2_900_1,22514,26098,321.0869681087323,110.0,367.98744419642856,122.0,38919150.5,0.0003321443929803966,1215.038997956827,538.0,1859.1997767857142,910.5,32327523.5,6.019359324392089e-82,13.486141956116194,12.0,16.271484375,14.0,31451611.5,1.0494535182777345e-100
33,ClassicGumtree_0.3_1200_1,22507,26094,504.0962367263518,160.0,566.6947309729579,178.0,39192785.0,0.002548768616717549,1230.1606166970275,543.0,1762.4583217173126,832.0,33100214.5,1.1421142942186106e-67,13.523659305993691,12.0,16.02286032896571,14.0,32015003.0,4.9509994557647625e-89
34,ClassicGumtree_0.4_2000_1,22482,26091,1057.7398363134953,269.0,1205.0315876974232,330.0,38645827.0,2.345047488648263e-06,1239.7627435281559,549.0,1699.1554447215294,749.0,34615874.0,6.754568533045307e-46,13.579886131127124,12.0,15.651426988085342,14.0,33181241.5,8.219178265959703e-70
35,ClassicGumtree_0.4_1900_1,22459,26091,969.1545037624115,256.0,1111.9520925110132,308.0,38928531.0,5.181324011108512e-06,1236.9013758404203,549.0,1713.9399779735684,761.0,34618243.5,7.341883410532187e-49,13.57175297208246,12.0,15.688601321585903,14.0,33234590.5,1.8376532873694242e-72
36,ClassicGumtree_0.3_1100_1,22445,26095,441.8493651147249,144.0,490.45205479452056,152.0,39978542.5,0.009894810756177139,1227.941857874805,540.0,1768.2531506849316,857.0,33239522.0,4.435192548724396e-75,13.510759634662508,12.0,16.066301369863012,14.0,32251714.5,2.789025485161935e-95
37,ClassicGumtree_0.4_1800_1,22437,26091,903.2469135802469,244.0,1027.3456486042694,284.5,39391268.5,7.463809340567001e-05,1235.7912822569863,548.0,1717.884236453202,768.5,34636053.5,1.6029346382297366e-51,13.567544680661408,12.0,15.701696770662288,14.0,33314285.0,1.7520792527688496e-74
38,ClassicGumtree_0.4_1700_1,22407,26092,834.0693086981747,231.0,932.6347354138398,262.0,39956118.0,0.0008564002850713095,1232.9859418931585,547.0,1731.0385345997286,779.0,34646404.5,1.270242645880891e-55,13.558798589726425,12.0,15.743283582089552,14.0,33403243.0,7.978192227222852e-78
39,ClassicGumtree_0.2_800_1,22397,26099,266.0812162343171,93.0,312.79578606158833,102.0,40185495.0,0.0013772443973159266,1208.7778273875965,533.0,1877.2658022690437,917.0,32658375.0,1.172288538489354e-95,13.455418136357547,12.0,16.369259859535386,14.0,31906496.0,9.749418391812109e-113
40,ClassicGumtree_0.4_1600_1,22384,26092,769.5617405289493,220.0,832.7562028047465,242.5,40392653.0,0.0045741543757453545,1231.041681558256,546.0,1739.6860841423947,785.0,34661736.0,1.3494703840490099e-58,13.554547891350966,12.0,15.755393743257821,14.0,33529796.5,3.93332961632972e-79
41,ClassicGumtree_0.1_700_1,22370,26100,215.54188645507375,78.5,261.42171581769435,84.5,40458453.5,0.0015307647291998914,1204.0653106839518,529.0,1900.3954423592493,925.0,32403556.5,2.568250204857114e-106,13.435806884219938,12.0,16.46809651474531,14.0,31671801.5,8.851373801838365e-124
42,ClassicGumtree_0.3_1000_1,22358,26097,377.96117720726363,127.0,430.35517518052956,135.0,40859110.0,0.013809829328371373,1221.2943465426245,538.0,1795.044129446376,896.0,33433107.0,5.363987783915419e-86,13.481438411306915,12.0,16.181599358117143,14.0,32636009.0,4.0596985337104203e-103
43,ClassicGumtree_0.4_1500_1,22349,26092,699.0378540426865,207.0,750.8343574672723,225.0,40940389.0,0.01890639038350499,1228.6734529509151,544.0,1749.0702644937217,796.0,34699589.5,5.565115876016682e-63,13.544051187972617,12.0,15.797488645471548,14.0,33633736.5,7.539262380997807e-83
44,ClassicGumtree_0.4_1400_1,22307,26093,634.278701752813,191.0,675.783940834654,205.5,41397593.0,0.026446291530813452,1226.5198816514994,543.0,1755.9133650290544,815.5,34759585.5,2.6361321830510326e-68,13.52602322141032,12.0,15.87744321183307,14.0,33780845.0,4.153728978747374e-87
45,ClassicGumtree_0.3_900_1,22263,26098,321.3199029780353,111.0,360.664667535854,116.0,41730659.5,0.013050867076867787,1205.8801599065714,533.0,1870.2086049543677,933.0,33696020.5,5.016571892047667e-97,13.45618290437048,12.0,16.26310299869622,14.0,33116385.5,4.6423815644320193e-110
46,ClassicGumtree_0.4_1300_1,22255,26093,569.933812626376,177.0,611.9179260031266,185.0,42229927.5,0.1339768354664606,1223.2319478768816,540.0,1767.8061490359562,836.0,34856443.0,1.896326258375352e-74,13.5134576499663,12.0,15.918447107868682,14.0,33970199.5,4.927247393997502e-92
47,ClassicGumtree_0.2_700_1,22231,26100,214.88988349601908,78.0,259.04342207288704,83.0,41922050.5,0.006107761891663588,1198.9037380234806,527.0,1905.0367019901782,933.0,33115738.5,5.095066526940172e-116,13.416580450721964,12.0,16.46963039545102,14.0,32522063.5,1.381951057532668e-130
48,ClassicGumtree_0.5_2000_1,22184,26091,1058.4138117562206,269.0,1178.3918607627336,316.0,41827003.5,0.00025346442625355845,1225.5741976199063,546.5,1744.6787816739186,765.0,36524255.5,8.5598865152914e-56,13.553461954561847,12.0,15.643460455592527,14.0,35281993.5,1.929922404018291e-77
49,ClassicGumtree_0.4_1200_1,22181,26094,505.3785221586042,162.0,551.6664962944033,165.0,43044741.0,0.20864619177297433,1215.8843154050764,538.0,1799.0373115256837,872.0,34964587.5,3.1779916186490007e-84,13.494747757089401,12.0,15.978533094812164,14.0,34211948.5,6.720165369964162e-100
50,ClassicGumtree_0.5_1900_1,22157,26091,970.416482375773,256.0,1086.1792069140824,297.5,42123439.5,0.0004008075998656653,1222.5289524755156,545.0,1758.2674123029994,774.0,36522489.0,1.8903232298320197e-59,13.543665658708308,12.0,15.684290798169801,14.0,35332710.5,1.074585965376066e-80
51,ClassicGumtree_0.1_600_1,22140,26101,168.86007226738934,64.0,207.0156526129765,68.0,42594068.5,0.0020408288101449804,1189.9527551942185,522.0,1938.7389548093915,936.0,33177579.0,3.9304412778427104e-132,13.38048780487805,12.0,16.601363292097954,14.0,32568295.0,5.967358308218484e-148
52,ClassicGumtree_0.3_800_1,22139,26099,266.5909932697954,94.0,305.43964646464644,97.0,43128722.5,0.05283602505415951,1199.6909526175527,529.0,1884.514393939394,936.0,34043049.5,1.1350614542125962e-111,13.427164731921044,12.0,16.33737373737374,14.0,33649534.0,4.169919430329028e-121
53,ClassicGumtree_0.5_1800_1,22133,26091,903.9801653639362,245.0,1009.6905002526529,276.5,42561066.5,0.00224488574293941,1221.2389192608323,544.0,1762.232693279434,782.0,36532265.5,1.386796023837527e-62,13.539601500022592,12.0,15.694037392622537,14.0,35421786.0,9.011685505496927e-83
54,ClassicGumtree_0.4_1100_1,22118,26095,443.4219187991681,146.0,474.024138798089,141.0,43957011.5,0.4775445470440737,1213.8087982638574,535.0,1802.4279607744531,896.0,35111947.5,9.713688982424522e-92,13.481508273804142,12.0,16.01885843600704,14.0,34441708.0,3.485586028444187e-106
55,ClassicGumtree_0.5_1700_1,22101,26092,834.0149766978869,232.0,920.7972939113005,252.0,43174461.0,0.017036807570815892,1218.8538075200217,543.0,1771.1112503132047,795.0,36543900.5,4.754241649442911e-67,13.531831138862495,12.0,15.725131545978451,14.0,35516985.5,3.334160780673966e-86
56,ClassicGumtree_0.5_1600_1,22073,26092,769.740678657183,221.0,822.5013684996268,235.0,43701039.5,0.0680367208403014,1217.6555067276763,542.0,1773.8449863150038,804.0,36562975.0,9.754577227587717e-71,13.528654917772844,12.0,15.727295347101268,14.0,35654353.0,5.427848147121378e-88
57,ClassicGumtree_0.5_1500_1,22031,26092,699.4332531432981,208.0,742.6582122629894,216.0,44387422.0,0.21603551533723597,1214.8317370977259,540.0,1783.4117212509234,820.0,36590430.5,2.0419994061814772e-76,13.517361899142118,12.0,15.765821226298941,14.0,35784940.0,3.542606419587965e-92
58,ClassicGumtree_0.4_1000_1,22024,26097,380.3479386124228,128.0,408.03952860299535,119.0,44622041.5,0.3014064305795865,1207.394160915365,532.0,1823.1573778541615,939.0,35312897.5,9.684403904265049e-104,13.45209771158736,12.0,16.11883132825927,14.0,34854726.5,3.671300535512381e-114
59,ClassicGumtree_0.2_600_1,21983,26101,167.17317927489424,64.0,205.74405050995628,67.0,44238161.0,0.01045403370373548,1185.7885184005822,519.0,1932.4210781932977,937.0,34016181.0,5.067602624491611e-142,13.358686257562661,12.0,16.594949004371053,14.0,33540737.0,1.1160526504690022e-154
60,ClassicGumtree_0.5_1400_1,21982,26093,634.6082704030571,192.0,663.2113840914619,199.0,44955218.0,0.30288986258880995,1212.6306068601584,538.5,1788.3291170031623,841.0,36654735.5,8.418091656422866e-83,13.496815576380675,12.0,15.847725614205789,14.0,35915496.0,9.470975132448075e-98
61,ClassicGumtree_0.3_700_1,21965,26100,215.26273617118142,79.0,252.2752116082225,79.0,44963529.0,0.1561335915636925,1190.2177555201456,523.0,1905.7516324062879,942.0,34536730.0,1.5621933074712196e-132,13.387297974049625,12.0,16.428778718258766,14.0,34294817.5,6.326641687707433e-139
62,ClassicGumtree_0.5_1300_1,21929,26093,570.7604997947923,178.0,599.9284341978866,178.0,45455957.0,0.3265956104208736,1209.486843905331,537.0,1797.5576368876082,858.0,36743390.5,2.655794672525278e-89,13.484974235031236,12.0,15.88016330451489,14.0,36128074.5,3.935081151818487e-102
63,ClassicGumtree_0.4_900_1,21923,26098,324.0488071887971,113.0,343.19185628742514,105.0,45491884.0,0.2707670210203794,1191.3722118323221,528.0,1892.2891017964073,961.0,35558019.0,4.094631859856188e-116,13.425762897413675,12.0,16.19425149700599,14.0,35333258.5,1.1905435209708757e-121
64,ClassicGumtree_0.5_1200_1,21844,26094,506.78529573338216,162.0,537.752705882353,154.5,45968806.5,0.15844744952776285,1203.3270921076726,533.0,1817.3378823529413,896.0,36869567.0,1.5688240086133355e-100,13.465070499908443,12.0,15.934117647058823,14.0,36393026.0,5.191848227397803e-111
65,ClassicGumtree_0.6_2000_1,21816,26091,1057.8598276494315,272.0,1151.3719298245614,293.0,46198900.5,0.16825029959638077,1209.5774202420241,539.0,1781.6273684210526,814.0,38022748.0,9.023272453178015e-82,13.511872020535387,12.0,15.67578947368421,14.0,37346850.5,4.055518765230033e-95
66,ClassicGumtree_0.1_500_1,21794,26101,125.4842158392218,49.0,160.7058277223125,52.0,45458038.0,0.0005467644645395156,1174.9564559052951,511.0,1954.469003947063,951.0,34435852.0,1.1156913553037315e-168,13.297237771863816,12.0,16.763872765265845,15.0,33848906.5,2.1988137904248784e-185
67,ClassicGumtree_0.4_800_1,21791,26099,268.66545821669496,96.0,291.87534818941504,89.0,46455846.5,0.14306371923234945,1184.9710430911844,523.0,1903.6515784586816,959.5,35903002.5,5.148589558961337e-132,13.395392593272453,12.0,16.262999071494892,14.0,35857414.0,1.329433413573377e-133
68,ClassicGumtree_0.6_1900_1,21782,26091,969.8652098062621,258.0,1062.1195172893943,272.0,46610035.5,0.23985477526713062,1205.9805802956569,538.0,1795.2956602459967,825.0,38009040.0,4.344502313345288e-87,13.500367275732255,12.0,15.716871663959155,14.0,37402194.5,2.0771239826225626e-99
69,ClassicGumtree_0.5_1100_1,21769,26095,445.4923974459093,147.0,458.82015718908923,133.0,46147003.0,0.01895920020034403,1201.1693692866002,530.0,1818.5443828016644,925.0,37032304.0,1.1809456106120156e-109,13.452018925995683,12.0,15.9625520110957,14.0,36708580.5,3.940896486212303e-117
70,ClassicGumtree_0.6_1800_1,21754,26091,903.0940516686586,247.0,985.7553608485129,253.0,47105598.5,0.4403722964049805,1204.782155005976,537.0,1797.5021904542311,835.0,38018645.0,3.776656588069658e-91,13.495403144249334,12.0,15.727461378833295,14.0,37503219.0,7.809091688128997e-102
71,ClassicGumtree_0.6_1700_1,21710,26092,833.1690004606172,234.0,899.9438612505705,233.0,47290323.5,0.27176977231240057,1201.9482266236757,534.0,1805.5903696942037,852.5,38024858.0,5.070027165713091e-98,13.485951174573929,12.0,15.756732085805568,14.0,37623119.5,1.1510038244867e-106
72,ClassicGumtree_0.3_600_1,21706,26101,167.50709481249424,64.0,199.42707622298067,63.0,47578320.5,0.39558471174728926,1178.7732424214503,514.0,1920.010693970421,939.0,35478867.0,8.008866117624075e-159,13.33262692343131,12.0,16.519681456200228,14.0,35369124.5,2.8471137657343976e-162
73,ClassicGumtree_0.6_1600_1,21673,26092,769.6383518663775,223.0,803.7890925548767,217.0,47251500.5,0.08203901641151767,1200.8344483920084,533.0,1805.9986422267482,862.0,38049687.5,2.342754947037011e-103,13.481243944077885,12.0,15.760805612129442,14.0,37781544.5,2.3070568734230386e-109
74,ClassicGumtree_0.5_1000_1,21661,26097,381.18794146161304,130.0,398.4456717763751,111.0,46865357.5,0.004960593093631956,1194.547804810489,526.0,1835.4979711451758,966.0,37254309.5,1.8001451215866703e-123,13.419694381607497,12.0,16.058836789900813,14.0,37132071.0,1.0156028729256526e-126
75,ClassicGumtree_0.2_500_1,21626,26101,124.38208637750856,49.0,157.8668156424581,50.0,47348684.0,0.011731444684402226,1171.9380375473966,505.5,1939.7915083798882,950.0,35294499.5,1.9522541982606925e-179,13.28257652825303,12.0,16.704581005586594,15.0,34853915.5,2.6966720144785202e-192
76,ClassicGumtree_0.6_1500_1,21618,26092,698.7705153113146,210.0,725.3596334376397,200.0,47286433.0,0.009645533934668172,1197.7680173929134,531.0,1813.375949932946,881.5,38081195.0,1.4816579691249368e-111,13.468035896012582,12.0,15.796602592758159,14.0,37955191.5,1.082614892306286e-114
77,ClassicGumtree_0.4_700_1,21601,26100,216.73404009073653,80.0,241.66259168704156,74.0,47762439.5,0.03567855938411638,1176.0976343687792,517.0,1915.6548121804844,962.0,36438239.5,2.8078233066486215e-154,13.354659506504328,12.0,16.339408757501666,14.0,36579157.5,2.335259376668857e-151
78,ClassicGumtree_0.6_1400_1,21555,26093,634.3428902806774,195.0,649.8719700308505,184.5,47647738.5,0.0031355717570286505,1195.0384597541174,528.0,1817.7199206698986,906.5,38140835.5,7.4261686805972374e-121,13.446160983530504,12.0,15.867122080211548,14.0,38134839.5,1.8707979376358084e-121
79,ClassicGumtree_0.5_900_1,21535,26098,325.54167634084047,114.0,332.15976331360946,99.0,47672305.0,0.0007948457174066442,1177.8095193870442,522.0,1896.6977865439403,972.0,37558260.5,1.2514717642748134e-138,13.39006268864639,12.0,16.127328511943897,14.0,37693743.0,5.5847723489533414e-136
80,ClassicGumtree_0.6_1300_1,21490,26093,572.1471382038158,180.0,579.0847273517271,161.0,47676124.5,6.0345115569371204e-05,1191.5949744067009,526.0,1825.003475993917,931.0,38229846.0,8.23520877552258e-130,13.431782224290368,12.0,15.900065174885944,14.0,38415514.5,4.100644346137915e-126
81,ClassicGumtree_0.7_2000_1,21404,26091,1058.6008689964492,274.0,1127.6518028589717,271.0,49528565.0,0.0880958157930744,1171.2588768454495,527.0,1906.3309152976317,895.0,38673415.5,7.178508534969428e-134,13.417725658755373,12.0,15.915510987838703,14.0,38941084.5,2.649333172664405e-128
82,ClassicGumtree_0.5_800_1,21388,26099,269.84495979053673,97.0,281.17215028656335,83.0,48594948.5,6.891824698239971e-05,1171.679025621844,517.0,1902.5183612821056,968.0,37945790.0,9.855512145938232e-156,13.358892837104918,12.0,16.18340055189981,14.0,38285586.5,4.936809524092229e-148
83,ClassicGumtree_0.6_1200_1,21388,26094,507.82868898447725,165.0,518.572885677858,139.0,48139967.0,1.48724184153271e-06,1185.4245838788106,523.0,1839.2056948576285,967.0,38366309.0,1.945104957051616e-144,13.407050682625771,12.0,15.958563535911603,14.0,38698080.5,3.442177089341432e-137
84,ClassicGumtree_0.7_1900_1,21355,26091,970.4625614610162,260.0,1039.5726351351352,251.0,49684411.5,0.029674804610730115,1167.1838445328963,525.0,1917.1002956081081,909.5,38648477.5,7.715858557926856e-143,13.403465230625146,12.0,15.953969594594595,14.0,39031141.0,1.7689998850793475e-134
85,ClassicGumtree_0.3_500_1,21337,26101,125.3556263767165,50.0,152.2411838790932,47.0,50710819.0,0.40428206386616705,1164.6002249613348,500.0,1926.0755667506298,943.0,36839568.0,1.103152636854638e-194,13.252144162722033,12.0,16.633291351805205,14.0,36746685.5,5.178078681137697e-198
86,ClassicGumtree_0.4_600_1,21332,26101,168.62422651415713,65.0,191.44327951352486,59.0,49747685.0,0.00870856567364672,1165.5335177198574,507.0,1921.102537219543,951.0,37417223.0,4.489871620970345e-180,13.30170635664729,12.0,16.40805200251625,14.0,37668957.0,3.7182172045663345e-174
87,ClassicGumtree_0.7_1800_1,21319,26091,903.773347717998,250.0,964.3122380553227,233.5,49578715.0,0.0030771123814303273,1165.6634926591303,524.0,1918.2351215423303,924.5,38647587.0,4.043406180823271e-149,13.396876026080022,12.0,15.964165968147528,14.0,39150632.5,8.212011522281635e-138
88,ClassicGumtree_0.6_1100_1,21301,26095,445.4890850194827,148.0,446.22194409678764,118.5,48430173.5,1.2199253470878501e-08,1182.683958499601,520.0,1840.4105131414267,1004.0,38508605.5,1.4680449201741525e-156,13.391343129430544,12.0,15.987067167292448,14.0,38996070.0,2.2671141154354173e-145
89,ClassicGumtree_0.7_1700_1,21262,26092,834.6674818925783,237.0,876.1393374741201,213.0,49571647.5,8.545331021968516e-05,1162.9023139873952,522.0,1921.4832298136646,945.5,38644855.5,1.8023190222287456e-159,13.3867933402314,12.0,15.982608695652173,14.0,39305445.0,4.165068189133299e-144
