top,configuration,nrBest,total,best_time_avg,best_time_median,notbest_time_avg,notbest_time_median,time_Mann-Whitney_U_stat,time_Mann-Whitney_U_p,best_size_avg,best_size_median,notbest_size_avg,notbest_size_median,size_Mann-Whitney_U_stat,size_Mann-Whitney_U_p,best_height_avg,best_height_median,notbest_height_avg,notbest_height_median,height_Mann-Whitney_U_stat,height_Mann-Whitney_U_p
0,ClassicGumtree_0.1_2000_1,23128,26091,1057.3881442407471,267.0,1247.0442119473507,360.0,31542400.5,8.883351702497231e-13,1266.1930127983396,557.0,1593.0091123860952,699.0,30579153.5,6.717681495593165e-22,13.64121411276375,12.0,15.624367195410057,14.0,28539290.5,2.9981625031855252e-50
1,ClassicGumtree_0.1_1900_1,23112,26091,969.1209761163033,253.0,1147.9895938234306,345.0,31687121.5,7.364214083881184e-13,1263.482346832814,556.0,1612.2839879154078,702.0,30590157.0,1.8433856510606743e-23,13.635297680858429,12.0,15.65961732124874,14.0,28581933.0,4.971666129371146e-52
2,ClassicGumtree_0.1_1800_1,23097,26091,903.2844525263021,241.0,1060.5227120908485,324.0,32009365.5,1.8002680168131247e-11,1262.564185824999,556.0,1617.61957247829,707.0,30601187.5,5.846883457044155e-25,13.63125081179374,12.0,15.680694722778892,14.0,28625616.5,1.1843929313779223e-53
3,ClassicGumtree_0.1_1700_1,23068,26092,831.5022975550546,229.0,976.9219576719577,298.0,32423964.0,1.4578762208060847e-10,1260.0798075255766,554.0,1633.2248677248676,720.5,30633326.5,5.70891575685599e-28,13.622940870469915,12.0,15.731481481481481,14.0,28740238.0,1.7504718239464392e-56
4,ClassicGumtree_0.1_1600_1,23046,26092,767.2608695652174,218.0,868.683191070256,273.0,32888716.5,7.677641094450231e-09,1257.960817495444,554.0,1646.5620485883126,732.0,30652260.0,2.5743886307947005e-30,13.617851254013711,12.0,15.754760341431385,14.0,28846772.0,3.665901099190363e-58
5,ClassicGumtree_0.1_1500_1,23022,26092,695.9157762140561,204.0,789.8885993485342,255.0,33224606.5,3.464733686402707e-08,1255.9948310311875,552.0,1658.2671009771987,739.0,30683494.5,7.98235908189262e-33,13.610112066718791,12.0,15.796091205211727,14.0,28935055.0,1.6423944641324377e-60
6,ClassicGumtree_0.2_2000_1,23008,26091,1056.5146036161336,265.0,1247.4550762244567,367.0,32613662.5,1.8641343321272268e-13,1262.1452103616134,555.0,1610.4965942264027,706.0,31341877.5,4.166114486356128e-26,13.629824408901252,12.0,15.632176451508272,14.0,29380831.5,1.1343867657832515e-54
7,ClassicGumtree_0.2_1900_1,22990,26091,968.1077424967377,253.0,1148.0048371493067,346.0,32797266.5,2.3187401853032286e-13,1259.239886907351,554.5,1630.0138664946792,714.0,31338864.5,3.7230578323053413e-28,13.62257503262288,12.0,15.674298613350532,14.0,29411990.5,5.549956718304616e-57
8,ClassicGumtree_0.1_1400_1,22986,26093,630.4346123727486,188.0,714.7669777920823,233.0,33582035.5,3.393245043469737e-08,1254.0043504742016,551.5,1668.2726102349534,751.0,30757845.5,1.6807442830254953e-36,13.594013747498478,12.0,15.888316704216285,14.0,29087327.0,6.722977482060228e-64
9,ClassicGumtree_0.2_1800_1,22969,26091,901.64121206844,241.0,1065.0249839846254,324.5,33155880.5,4.112674901852964e-12,1258.017066480909,554.0,1636.516335682255,722.5,31367695.5,3.1915474459881744e-30,13.61835517436545,12.0,15.691543882126842,14.0,29495141.0,7.01185614702294e-59
10,ClassicGumtree_0.1_1300_1,22943,26093,566.6206686135205,175.0,648.624126984127,207.0,34343130.0,3.0818502594613706e-06,1250.9751558209475,550.0,1684.680634920635,769.0,30858811.0,1.0120746898566964e-40,13.583097240988536,12.0,15.936507936507937,14.0,29282215.5,1.63282211507252e-67
11,ClassicGumtree_0.2_1700_1,22943,26092,832.5931220851676,229.0,968.3455065100031,297.0,33694518.0,4.4217598505076135e-10,1255.814976245478,552.0,1649.4855509685615,734.0,31394950.0,4.090587564168321e-33,13.610513010504294,12.0,15.738329628453478,14.0,29591536.0,1.475517415468889e-61
12,ClassicGumtree_0.2_1600_1,22920,26092,768.0652705061082,217.0,860.0630517023959,273.0,34148619.5,1.516351562918918e-08,1253.9962041884817,552.0,1659.7730138713746,742.0,31421535.5,1.3332198326795124e-35,13.605715532286213,12.0,15.757566204287516,14.0,29724035.0,6.499725877236051e-63
13,ClassicGumtree_0.2_1500_1,22892,26092,696.3848506028307,204.0,786.8009375,255.5,34502492.5,5.08367099179667e-08,1251.5446007338808,551.0,1673.760625,750.0,31443852.0,7.212256433918253e-39,13.596758692993186,12.0,15.8028125,14.0,29822174.5,9.737546547346357e-66
14,ClassicGumtree_0.1_1200_1,22884,26094,503.8912340499913,160.0,583.5386292834891,188.0,34989811.5,6.772481574363273e-06,1244.8677678727495,549.0,1720.127414330218,791.0,30981013.0,3.394330404292239e-47,13.569393462681349,12.0,15.990342679127727,14.0,29499954.0,1.0606974622494483e-73
15,ClassicGumtree_0.2_1400_1,22851,26093,630.0634545534112,188.0,712.8969771745836,235.0,34905303.5,5.1228790017272604e-08,1249.3417793532012,550.0,1683.885872917952,768.5,31531566.0,3.4534682505456597e-43,13.578311671261652,12.0,15.903454657618754,14.0,29962336.0,3.4264393350905005e-70
16,ClassicGumtree_0.1_1100_1,22825,26095,440.0033734939759,143.0,507.9792048929664,163.5,35700408.0,2.9434514343378855e-05,1242.4250602409638,547.0,1729.9470948012233,817.5,31127852.5,1.3641571030298432e-53,13.55592552026287,12.0,16.048012232415903,14.0,29721828.0,6.4039657518910745e-80
17,ClassicGumtree_0.2_1300_1,22812,26093,566.5002191828862,174.0,646.5431270953977,208.0,35654619.0,5.835119578134786e-06,1246.5313869893039,549.0,1698.2605912831455,782.0,31619031.5,3.1270798133436106e-47,13.568034367876557,12.0,15.947272173117952,14.0,30135949.0,1.6350174505941038e-73
18,ClassicGumtree_0.3_2000_1,22785,26091,1057.984902348036,268.0,1224.2011494252874,346.0,35270816.5,1.6853192108697801e-09,1253.094623655914,552.0,1649.3759830611011,728.0,32703846.0,7.874588877399912e-35,13.606671055518982,12.0,15.656684815486994,14.0,31033082.5,7.377076857495637e-61
19,ClassicGumtree_0.3_1900_1,22765,26091,969.5307709202724,255.0,1127.7095610342753,324.0,35492356.0,2.757863092922673e-09,1250.35462332528,552.0,1665.7471437161755,734.0,32707765.5,3.2075097401967255e-37,13.598462552163408,12.0,15.700541190619363,14.0,31062313.0,1.6567374087902956e-63
20,ClassicGumtree_0.2_1200_1,22750,26094,502.6094945054945,160.0,579.3815789473684,187.0,36364435.5,1.9386180985365214e-05,1239.575076923077,547.0,1737.0903110047848,803.5,31725217.0,1.2580261585867759e-54,13.552395604395604,12.0,16.00897129186603,14.0,30355980.5,3.6095998950360924e-80
21,ClassicGumtree_0.3_1800_1,22743,26091,903.5912588488766,243.0,1040.4471326164874,302.5,35893275.0,4.3005948130179466e-08,1249.3462603878115,551.0,1669.8673835125448,742.5,32740745.0,1.606966661876159e-39,13.594072901552126,12.0,15.716547192353644,14.0,31144947.0,1.5456299186097885e-65
22,ClassicGumtree_0.1_1000_1,22742,26097,377.2175270424765,125.0,442.7323397913562,142.0,36623135.0,8.927647332092948e-05,1235.6068067892006,543.0,1763.6956780923995,857.0,31320765.5,2.2343144545702672e-63,13.530296367953566,12.0,16.15946348733234,14.0,30134367.0,7.991203283204669e-87
23,ClassicGumtree_0.3_1700_1,22714,26092,833.6571717883244,230.5,947.0,277.0,36467922.5,1.725878487213341e-06,1246.6217310909572,550.0,1684.6142687981053,752.0,32758473.5,3.672610081148761e-43,13.584661442282293,12.0,15.767910005920664,14.0,31246312.0,1.4494289745603665e-68
24,ClassicGumtree_0.3_1600_1,22694,26092,769.9262360095179,218.0,843.7118893466745,258.0,36880743.5,2.1213240001283236e-05,1244.792544284833,549.5,1694.252795762213,763.5,32767562.5,1.098353534830089e-45,13.58077024764255,12.0,15.781047675103002,14.0,31353517.0,7.732342099675699e-70
25,ClassicGumtree_0.2_1100_1,22690,26095,440.1204495372411,143.0,505.05785609397947,160.0,37110574.5,0.00010517556740464083,1237.3596738651388,544.0,1744.3723935389135,832.0,31884905.5,3.860174327107996e-61,13.540061701189952,12.0,16.054919236417035,14.0,30607128.5,6.2556933994177375e-86
26,ClassicGumtree_0.3_1500_1,22660,26092,698.1383495145631,205.0,765.2421328671329,237.0,37347273.5,9.260621326937696e-05,1242.3288614298324,549.0,1706.066724941725,773.5,32803406.5,8.746727986243994e-50,13.570564872021183,12.0,15.826631701631701,14.0,31458538.5,1.778587963487057e-73
27,ClassicGumtree_0.1_900_1,22651,26098,321.63149529822084,110.0,368.53872932985206,123.0,37519927.5,0.00011372869955567164,1220.187541388901,540.0,1850.9695387293298,901.0,31587415.5,2.1814210057368086e-73,13.504878371815813,12.0,16.259065854366117,14.0,30598225.5,6.659293939152111e-94
